E_ergodic_exploit,E_ergodic_exploit_per_length,E_ergodic_explore,E_ergodic_explore_per_length,E_ergodic_total,E_ergodic_total_per_length,coverage,coverage_per_length,explore_exploit_ratio,knowledge_condition,method,path_len,replan_scheme,representation,shape,strategy,subvariant,svgd_iters,variant_id
0.01924733817577362,0.00218719770959921,16.40184783935547,1.8638465069724435,16.421095177531242,1.8660337046820428,0.034316953271627426,0.00389965411895766,0.0011734859611116821,ground_truth,lawnmower,8.799999237060547,,,A,,fixed,-1,lawnmower_fixed
0.01924733817577362,0.00218719770959921,16.40184783935547,1.8638465069724435,16.421095177531242,1.8660337046820428,0.034316953271627426,0.00389965411895766,0.0011734859611116821,none_known,lawnmower,8.799999237060547,,,A,,fixed,-1,lawnmower_fixed
0.01924733817577362,0.00218719770959921,16.40184783935547,1.8638465069724435,16.421095177531242,1.8660337046820428,0.034316953271627426,0.00389965411895766,0.0011734859611116821,half_known,lawnmower,8.799999237060547,,,A,,fixed,-1,lawnmower_fixed
0.01924733817577362,0.00218719770959921,16.40184783935547,1.8638465069724435,16.421095177531242,1.8660337046820428,0.034316953271627426,0.00389965411895766,0.0011734859611116821,ten_samples,lawnmower,8.799999237060547,,,A,,fixed,-1,lawnmower_fixed
0.09378409385681152,0.009621609716813409,38.81198501586914,3.9818455006630162,38.90576910972595,3.9914671103798294,0.08359052240848541,0.008575818665657214,0.00241636942347746,ground_truth,random_walk,9.747235298156738,,,A,,fixed,-1,random_walk_fixed
0.09378409385681152,0.009621609716813409,38.81198501586914,3.9818455006630162,38.90576910972595,3.9914671103798294,0.08359052240848541,0.008575818665657214,0.00241636942347746,none_known,random_walk,9.747235298156738,,,A,,fixed,-1,random_walk_fixed
0.09378409385681152,0.009621609716813409,38.81198501586914,3.9818455006630162,38.90576910972595,3.9914671103798294,0.08359052240848541,0.008575818665657214,0.00241636942347746,half_known,random_walk,9.747235298156738,,,A,,fixed,-1,random_walk_fixed
0.09378409385681152,0.009621609716813409,38.81198501586914,3.9818455006630162,38.90576910972595,3.9914671103798294,0.08359052240848541,0.008575818665657214,0.00241636942347746,ten_samples,random_walk,9.747235298156738,,,A,,fixed,-1,random_walk_fixed
0.13295698165893555,0.045294217645220826,2.0968170166015625,0.7143189107269491,2.229773998260498,0.7596131283721699,0.03921109810471535,0.013357974808867225,0.0634089577708726,ground_truth,particles,2.9354074001312256,no_replan,particles,A,eid_optuna_ideal_v2,eid_optuna_ideal_v2__no_replan,-1,particles_eid_optuna_ideal_v2__no_replan
0.07632099092006683,0.009053982479172188,2.35284423828125,0.2791186310975772,2.429165229201317,0.2881726135767494,0.021851176396012306,0.002592211734331385,0.03243775753545812,ground_truth,particles,8.429549217224121,replan_1_6,particles,A,eid_optuna_ideal_v2,eid_optuna_ideal_v2__replan_1_6,-1,particles_eid_optuna_ideal_v2__replan_1_6
