E_ergodic_exploit_max,E_ergodic_exploit_mean,E_ergodic_exploit_median,E_ergodic_exploit_per_length_max,E_ergodic_exploit_per_length_mean,E_ergodic_exploit_per_length_median,E_ergodic_explore_max,E_ergodic_explore_mean,E_ergodic_explore_median,E_ergodic_explore_per_length_max,E_ergodic_explore_per_length_mean,E_ergodic_explore_per_length_median,E_ergodic_total_max,E_ergodic_total_mean,E_ergodic_total_median,E_ergodic_total_per_length_max,E_ergodic_total_per_length_mean,E_ergodic_total_per_length_median,coverage_max,coverage_mean,coverage_median,coverage_per_length_max,coverage_per_length_mean,coverage_per_length_median,explore_exploit_ratio_max,explore_exploit_ratio_mean,explore_exploit_ratio_median,method,n,path_len_max,path_len_mean,path_len_median,subvariant,svgd_iters
0.1406218707561493,0.045252886218950156,0.04001585394144058,0.015979759425879342,0.005142373879803417,0.004547256523945681,49.5552978515625,15.186475801467896,15.509160041809082,5.63128433498767,1.725736036147727,1.7624047030019503,49.64577676355839,15.231728687686847,15.577489212155342,5.641566030424055,1.7308784100275312,1.7701693821235684,0.035378534346818924,0.0346052610874176,0.034653328359127045,0.004020288342506308,0.00393241637359241,0.00393787856403295,0.011806435746007213,0.002961525928136086,0.0028758899562868947,lawnmower,100,8.799999237060547,8.799999237060547,8.799999237060547,fixed,-1
0.1505691409111023,0.09512321993708611,0.09378409385681152,0.014794865709880116,0.009322483797099544,0.009543981851465747,229.4569091796875,72.93997470855713,72.74993896484375,24.110658320969176,7.234674315285974,6.7493864322042425,229.5918523967266,73.03509792849421,72.8639634102583,24.124837758016394,7.243996799083069,6.759965067125056,0.21486298739910126,0.1037429103255272,0.08403686434030533,0.02230894888937562,0.01025269217781182,0.008575818665657214,0.011592446873023764,0.0023452921358313498,0.0015810906742412326,random_walk,100,11.262979507446289,10.267669067382812,10.17712116241455,fixed,-1
0.5799030661582947,0.1556292201578617,0.1484418511390686,0.1815795426338215,0.03355390347527342,0.02725864037257774,91.16130065917969,19.4547009319067,15.928159236907959,34.030970548336825,3.8945429290387255,2.7706421742785876,91.42339077591896,19.610330152064563,16.057218722999096,34.09964777402828,3.928096832513999,2.7983502168574192,0.1914728432893753,0.06770542426034808,0.06681133434176445,0.09003613490364026,0.013991112765850888,0.01214435375435275,0.505419279138707,0.02457578854417827,0.007487591590053499,particles,100,7.045730113983154,5.175981762409211,5.4709813594818115,niveau_svgd0__no_replan,-1
0.27875059843063354,0.0884575628861785,0.08028650656342506,0.033156634884644785,0.010495069980250772,0.0095024534742384,74.7243423461914,17.24649141073227,14.24650526046753,8.855895040543382,2.044591348927924,1.697714418083291,74.88057951629162,17.33494897361845,14.370930727571249,8.874411362486088,2.055086418908175,1.7126072148821017,0.18373972177505493,0.04593592409975827,0.04066401906311512,0.021899550528821716,0.005449176401484717,0.00482003787905909,0.06728796710963036,0.009122825218337646,0.005804502766648921,particles,100,8.467184066772461,8.432251329421996,8.439870834350586,niveau_svgd0__replan_1_6,-1
1.2967281341552734,0.16606512811034918,0.11945847794413567,0.5149692617374781,0.04345536363942595,0.026930039275803924,121.25912475585938,20.96620285116136,17.647440910339355,68.79150335765912,5.234102954670044,3.2287133406985147,121.82703566551208,21.13226797927171,17.783968586474657,69.11368484566576,5.27755831830947,3.2433205111756136,0.3445999324321747,0.07031160190701485,0.05871531367301941,0.1954949572387671,0.017593410557701302,0.011586102292315319,0.6169754090652311,0.045129192335360946,0.010109323121474719,particles,100,6.519135475158691,4.747806708812714,4.98968505859375,niveau_svgd25__no_replan,-1
0.7046703100204468,0.10328966464847326,0.07824758440256119,0.08634496144276993,0.012321409868071186,0.009270833633623705,125.40289306640625,17.041603733301162,11.720677852630615,15.365920505883759,2.0308848187488566,1.3901698421945214,126.1075633764267,17.144893397949637,11.783076098188758,15.45226546732653,2.0432062286169277,1.3975694351186294,0.3243483603000641,0.049203069536015394,0.03696686029434204,0.03974319091622019,0.005866018704171677,0.00438463594999741,0.06157910590395444,0.010955884499723094,0.00652132812770276,particles,100,8.468304634094238,8.426843214035035,8.44135332107544,niveau_svgd25__replan_1_6,-1
0.31605881452560425,0.13885839231312275,0.12568410485982895,0.09167580474886057,0.028798630946882838,0.023915744692367534,87.23528289794922,21.114041768312454,17.837356567382812,19.399131975556195,3.909178238521709,2.9090766558358836,87.44652286171913,21.252900160625575,17.908681351691484,19.44610691275538,3.9379768694685917,2.929520159794313,0.09118615835905075,0.06185868743807078,0.0636947937309742,0.019218222477147977,0.011873546383517208,0.01156656117878261,0.2197929871376304,0.026713941314338054,0.006733547515330228,particles,100,6.947988510131836,5.282077491283417,5.6403491497039795,ucb_tuned_svgd0__no_replan,-1
0.24286887049674988,0.08402734389528632,0.06949947774410248,0.02870826664010774,0.009950731998035246,0.008218842634679325,60.80850601196289,16.448366673290728,13.438235759735107,7.187857385787886,1.9467232871830993,1.5891972680832518,61.05137488245964,16.532394017186014,13.52265090867877,7.216565652427994,1.9566740191811343,1.598452806624404,0.09369825571775436,0.04259254693984985,0.0400749072432518,0.011108545550922555,0.005041581522256238,0.004746710767723686,0.21922625246949012,0.016371696732791256,0.005831430503434499,particles,100,8.468610763549805,8.445435028076172,8.450371265411377,ucb_tuned_svgd0__replan_1_6,-1
0.27964672446250916,0.13056471470743417,0.11905749142169952,0.07767019164468875,0.028560951938574886,0.026470605870814512,83.80677032470703,14.687714218720794,12.563612937927246,20.79423747418845,2.9619632907107674,2.4958748427797928,83.94407512247562,14.818278933428228,12.720022045075893,20.828305707101894,2.9905242426493426,2.5189143386816957,0.0811953991651535,0.05300018321722746,0.054649243131279945,0.02122725941832871,0.011015232479459484,0.010697704287274786,1.0148062103183904,0.09010935939424355,0.010304384627226233,particles,100,6.319378852844238,4.871867914199829,5.212419509887695,ucb_tuned_svgd25__no_replan,-1
0.23587079346179962,0.08286387886852026,0.07258730381727219,0.02791153986546222,0.009806072322221865,0.008595564984580292,53.113563537597656,13.945306411236524,11.406425476074219,6.277708555999642,1.649580022271075,1.3494159055964745,53.187739714980125,14.028170290105045,11.475713739171624,6.286475740733456,1.6593860945932966,1.3576134688279522,0.08881935477256775,0.0383841310441494,0.03646313026547432,0.010497921552550677,0.004541767509299071,0.00430956959625858,0.15647405118439062,0.015102806082518168,0.006976153003270814,particles,100,8.47083568572998,8.448156080245973,8.452871799468994,ucb_tuned_svgd25__replan_1_6,-1
