E_ergodic_exploit_max,E_ergodic_exploit_mean,E_ergodic_exploit_median,E_ergodic_exploit_per_length_max,E_ergodic_exploit_per_length_mean,E_ergodic_exploit_per_length_median,E_ergodic_explore_max,E_ergodic_explore_mean,E_ergodic_explore_median,E_ergodic_explore_per_length_max,E_ergodic_explore_per_length_mean,E_ergodic_explore_per_length_median,E_ergodic_total_max,E_ergodic_total_mean,E_ergodic_total_median,E_ergodic_total_per_length_max,E_ergodic_total_per_length_mean,E_ergodic_total_per_length_median,J_max,J_mean,J_median,coverage_max,coverage_mean,coverage_median,coverage_per_length_max,coverage_per_length_mean,coverage_per_length_median,explore_exploit_ratio_max,explore_exploit_ratio_mean,explore_exploit_ratio_median,n,path_len_max,path_len_mean,path_len_median,shape,smoothness_energy_max,smoothness_energy_mean,smoothness_energy_median,steps_to_full_coverage_max,steps_to_full_coverage_mean,steps_to_full_coverage_median,steps_to_full_coverage_reached_max,steps_to_full_coverage_reached_mean,steps_to_full_coverage_reached_median
0.2852535843849182,0.09055729333776981,0.07820282876491547,0.07363310983199119,0.016013481641869894,0.010317131526323662,50.88280487060547,15.234090207889675,11.763975620269775,10.285857826701056,2.3166799190502028,1.8638465069724435,50.99991437792778,15.324647501227446,11.828479029238224,10.309531280739911,2.3326934006920723,1.8660337046820428,51.0988517844677,15.463615208980627,11.997299143373965,0.10516174137592316,0.046485780249349774,0.04149203188717365,0.02858087036684611,0.0076573738782441305,0.00766855889881636,0.3948548853603442,0.02375384649872475,0.006057920036759361,80,9.747235298156738,6.948385387659073,8.419927597045898,A,11.616546630859375,1.7424568157643079,1.5192447900772095,1.0,0.75,1.0,1.0,0.25,0.0
0.3009338974952698,0.09046492392662912,0.08155764639377594,0.07290511177468684,0.016132930969108925,0.00990184156736586,57.909969329833984,16.172958375699817,16.238612174987793,12.734798082563737,2.460708261445763,1.9029662348551049,58.03125383704901,16.263423299626446,16.26424089819193,12.758700064276283,2.476841192414872,1.9087532263196132,58.14717119544744,16.404455022589303,16.43665174871683,0.08990509063005447,0.04638127121143043,0.04300672188401222,0.026174155694633668,0.007696713571488561,0.005404876992061714,0.3503319234467032,0.019438832726917443,0.004916138077043846,80,11.262979507446289,7.051586148142815,8.416229248046875,greek_upper_0,14.36874771118164,1.8926475413143635,1.5192447900772095,1.0,0.75,1.0,1.0,0.25,0.0
0.28802967071533203,0.10798088693991303,0.10085081309080124,0.08085150186239157,0.01806569569775381,0.013397981973056906,55.3536262512207,17.442798887193202,15.869293689727783,9.275773620390126,2.6095908769892397,2.245322346744187,55.43149618804455,17.550779774133115,15.945434421300888,9.297787712103927,2.6276565726869934,2.2582239502683383,55.60043623626232,17.691763067726047,16.09394770026207,0.12165198475122452,0.051999979210086165,0.05068177916109562,0.0388343579848421,0.008428159830471328,0.006744009546255633,0.34210025749206247,0.02126485367296813,0.005930413398968435,80,9.523926734924316,7.049164679646492,8.431686878204346,korean_5,9.077439308166504,1.5363378846086562,1.5192447900772095,1.0,0.75,1.0,1.0,0.25,0.0
0.40020737051963806,0.11453227209858596,0.10240653529763222,0.075220144180003,0.02023561929724709,0.012684919258505612,68.97394561767578,16.342234461940826,16.706388473510742,17.531408680813104,2.632647074147916,1.944501202168036,69.09194776415825,16.456766734039412,16.78322864510119,17.561401801210543,2.6528826934451635,1.965963946994782,69.17063390612603,16.59601466373168,16.955548152700068,0.09954359382390976,0.04805263860616833,0.043006908148527145,0.03143718126205973,0.008170536132250513,0.005789345907209146,0.5232137380832178,0.020216131952291872,0.0064811741474208075,80,10.469648361206055,6.962396484613419,8.423086643218994,digit_5,12.261439323425293,1.7523156598675995,1.5209673643112183,1.0,0.75,1.0,1.0,0.25,0.0
0.2852862775325775,0.11374847190454603,0.10638735815882683,0.07770038454820132,0.02012232440742169,0.013957797496859211,131.91990661621094,21.693114817142487,16.55554962158203,13.898578325156207,3.0946051496248814,2.027354626122233,132.0047447308898,21.806863289047033,16.628430606797338,13.94010399012382,3.1147274740323034,2.0393871856060803,132.20139103978872,21.94560183619335,16.801045600846408,0.10419896245002747,0.04597075833007693,0.03599005378782749,0.02875156358110453,0.007644193133771529,0.006227679810371919,0.4914896773920048,0.02686525625379036,0.006654229156663884,80,9.832315444946289,6.9369273573160175,8.414754390716553,a_lc,8.8048095703125,1.5872683457098902,1.5192447900772095,1.0,0.75,1.0,1.0,0.25,0.0
0.49128714203834534,0.08713375746738165,0.07514293119311333,0.13917997086998168,0.015078883933037723,0.011040567565681524,111.2986068725586,17.231953267008066,9.39686632156372,21.071755647782453,2.3892606908065686,1.491369060665153,111.42432510852814,17.319087024475447,9.465848620980978,21.110180038250014,2.4043395747396064,1.5062428799769458,111.61999330997467,17.461826748455877,9.614017699807881,0.19733798503875732,0.07114101415500045,0.06345559284090996,0.054643523178961845,0.011022683267366062,0.009389233240754781,0.11837103675887822,0.012191800406574938,0.0077947071729514775,80,9.78341007232666,7.136986199021339,8.419736385345459,rand_gmm_10,9.56606674194336,1.59299730155617,1.5192447900772095,1.0,0.75,1.0,1.0,0.25,0.0
0.3068271279335022,0.07921609771437943,0.06244824454188347,0.09538327408308417,0.014546950084701873,0.008430834828833268,53.90806579589844,15.99863246679306,13.12723684310913,16.372201982619778,2.4381780972164933,1.891095896865251,53.937757197767496,16.07784856450744,13.163997844327241,16.467585256702865,2.4527250473011954,1.899311181768684,54.106572810560465,16.219921043874695,13.321477721799166,0.16095875203609467,0.05865578604862094,0.055324578657746315,0.06672069690924819,0.00961933363429498,0.008179739729405477,0.22139870646083307,0.01410871132096488,0.005170903832874795,80,10.004690170288086,7.103623968362808,8.417539119720459,rand_gmm_20,10.127172470092773,1.6527836461085825,1.518943727016449,1.0,0.75,1.0,1.0,0.25,0.0
1.2144193649291992,0.2027531593106687,0.16038046777248383,0.5094142716571952,0.04288650963052815,0.02183023697126621,108.09430694580078,30.761652746796607,23.063477516174316,45.342477428540256,5.225546599018749,3.548676869876387,109.30872631072998,30.964405906107277,23.193399883806705,45.85189170019745,5.268433108649278,3.5882795735005715,109.35640535831452,31.101809853341432,23.32452312141657,0.23877951502799988,0.05179198107216507,0.039791686460375786,0.09142286904887989,0.010028921997412992,0.0079433688916695,0.24816502535305704,0.022582139844712704,0.007124512021789804,80,9.827930450439453,6.870197361707687,8.394923686981201,rand_ana_poly_10,8.76718521118164,1.6505884711164982,1.5192447900772095,1.0,0.75,1.0,1.0,0.25,0.0
0.3563086986541748,0.14856063830666244,0.13982835412025452,0.08947535323872034,0.02707792347129242,0.018242160652458417,229.4569091796875,29.731661609560252,19.642683029174805,24.110658320969176,4.191712810961201,2.643226003969231,229.5918523967266,29.880222247866914,19.805938497185707,24.124837758016394,4.218790734432494,2.6581438596218927,229.7821888911724,30.016073377339172,19.92831465780735,0.18400299549102783,0.051944834855385126,0.039550211280584335,0.0335189699314912,0.0087284268688279,0.007403006518572482,0.4196456593148661,0.025628293445712363,0.007593181449289334,80,9.516824722290039,6.792556473612786,8.417454719543457,rand_ana_poly_20,9.138040542602539,1.6413732662796974,1.5192447900772095,1.0,0.75,1.0,1.0,0.25,0.0
0.25796568393707275,0.1370755939744413,0.1316792145371437,0.06113323561687086,0.02265551101086525,0.017090454445651215,75.38916778564453,21.593798398971558,20.24706745147705,11.541627454908529,3.179479360940048,2.6805135642239266,75.51801881194115,21.730873992945998,20.387086495757103,11.580041611762315,3.202134871950913,2.6916003428717046,75.68712655425071,21.871010817494245,20.55565503060818,0.09421223402023315,0.04509763802634552,0.041811397299170494,0.0178912025718542,0.007331037334160284,0.005805537838880303,0.31859832157558454,0.02416520266702816,0.006821667709782038,80,10.521419525146484,7.006841227412224,8.409683227539062,rand_ana_poly_30,11.195320129394531,1.7039260170422494,1.5192447900772095,1.0,0.75,1.0,1.0,0.25,0.0
