E_ergodic_exploit,E_ergodic_exploit_per_length,E_ergodic_explore,E_ergodic_explore_per_length,E_ergodic_total,E_ergodic_total_per_length,coverage,coverage_per_length,explore_exploit_ratio,knowledge_condition,method,path_len,shape,subvariant,svgd_iters,variant_id
0.01924733817577362,0.00218719770959921,16.40184783935547,1.8638465069724435,16.421095177531242,1.8660337046820428,0.034316953271627426,0.00389965411895766,0.0011734859611116821,ground_truth,lawnmower,8.799999237060547,A,fixed,-1,lawnmower_fixed
0.01924733817577362,0.00218719770959921,16.40184783935547,1.8638465069724435,16.421095177531242,1.8660337046820428,0.034316953271627426,0.00389965411895766,0.0011734859611116821,none_known,lawnmower,8.799999237060547,A,fixed,-1,lawnmower_fixed
0.01924733817577362,0.00218719770959921,16.40184783935547,1.8638465069724435,16.421095177531242,1.8660337046820428,0.034316953271627426,0.00389965411895766,0.0011734859611116821,half_known,lawnmower,8.799999237060547,A,fixed,-1,lawnmower_fixed
0.01924733817577362,0.00218719770959921,16.40184783935547,1.8638465069724435,16.421095177531242,1.8660337046820428,0.034316953271627426,0.00389965411895766,0.0011734859611116821,ten_samples,lawnmower,8.799999237060547,A,fixed,-1,lawnmower_fixed
0.09378409385681152,0.009621609716813409,38.81198501586914,3.9818455006630162,38.90576910972595,3.9914671103798294,0.08359052240848541,0.008575818665657214,0.00241636942347746,ground_truth,random_walk,9.747235298156738,A,fixed,-1,random_walk_fixed
0.09378409385681152,0.009621609716813409,38.81198501586914,3.9818455006630162,38.90576910972595,3.9914671103798294,0.08359052240848541,0.008575818665657214,0.00241636942347746,none_known,random_walk,9.747235298156738,A,fixed,-1,random_walk_fixed
0.09378409385681152,0.009621609716813409,38.81198501586914,3.9818455006630162,38.90576910972595,3.9914671103798294,0.08359052240848541,0.008575818665657214,0.00241636942347746,half_known,random_walk,9.747235298156738,A,fixed,-1,random_walk_fixed
0.09378409385681152,0.009621609716813409,38.81198501586914,3.9818455006630162,38.90576910972595,3.9914671103798294,0.08359052240848541,0.008575818665657214,0.00241636942347746,ten_samples,random_walk,9.747235298156738,A,fixed,-1,random_walk_fixed
0.12779641151428223,0.033855234807029386,1.7605979442596436,0.46640947188898263,1.8883943557739258,0.500264706696012,0.037736862897872925,0.00999707534155122,0.07258693668872959,ground_truth,cfm,3.7747902870178223,A,no_replan,0,cfm_no_replan_svgd0
0.06574248522520065,0.017463231335909737,0.2164248675107956,0.05748911856979625,0.28216735273599625,0.07495234990570598,0.03034886159002781,0.008061593487266034,0.30376585639781584,ground_truth,cfm,3.7646231651306152,A,no_replan,25,cfm_no_replan_svgd25
