modell,arm,ziel,n,laenge,abs_fehler,rel_fehler,rec_jsd,rec_cov,E_erg,cov_solver,nutzen_pro_weg
laenge,frei,4.0,25,6.732304592132568,nan,nan,0.16159555792370578,0.035580133944749834,3.7282456254959104,0.04192983143031597,nan
laenge,kond,4.0,25,6.7106610202789305,0.6926109671592713,0.6776652550697326,0.1611209054858436,0.035506065636873245,3.696878745555878,0.0418408016115427,-0.046015187000762535
laenge,kond,6.0,25,6.711306953430176,0.3099197133382161,0.11855115890502929,0.1610697334851568,0.03546028792858124,3.6850387048721314,0.04179262042045593,-0.08989382757298152
laenge,kond,8.0,25,6.709297485351563,0.31134634017944335,-0.16133781433105468,0.1612115879962942,0.03548450984060764,3.6876571488380434,0.04180595397949219,0.27484547289648564
laenge,kond,11.0,25,6.709608211517334,0.3965404389121316,-0.3900356171347878,0.16124632022994081,0.03549504846334457,3.690632165670395,0.041820738017559055,-0.26436530500513705
laenge,kond,14.0,25,6.708342723846435,0.5208326625823975,-0.5208326625823975,0.1611757251958424,0.035489434972405434,3.6927602422237396,0.04182287693023681,-0.04260017441344253
laenge,kond,18.0,25,6.705159492492676,0.6274911393059626,-0.6274911393059626,0.16106772016728693,0.03546937450766564,3.683655558824539,0.04179563321173191,-0.033856739221761904
laenge,kond+kraft,4.0,25,4.0324654865264895,0.008120210170745849,0.008116371631622314,0.17420617503213986,0.044733074083924296,3.9992373502254486,0.04839023858308792,0.0053054044163304585
laenge,kond+kraft,6.0,25,6.0389401245117185,0.01001768112182615,0.006490020751953129,0.172965256309081,0.03645969189703464,3.6561988282203672,0.0422208434343338,-0.009139982126539308
laenge,kond+kraft,8.0,25,7.90641679763794,0.02470003843307495,-0.011697900295257569,0.18539129678031446,0.033292876780033114,3.6800862097740175,0.04059222884476185,-0.008476605651486677
laenge,kond+kraft,11.0,25,9.985790405273438,0.09325976978648792,-0.09220087224786931,0.20218650519427775,0.03262563437223434,3.910588040351868,0.041366053968667986,-0.008885776416633944
laenge,kond+kraft,14.0,25,11.070269775390624,0.20926644461495536,-0.20926644461495536,0.21008041575569314,0.032489022463560106,4.065371208190918,0.04190692000091076,-0.009195921916790632
laenge,kond+kraft,18.0,25,11.52773666381836,0.35957018534342455,-0.35957018534342455,0.21199704801629823,0.03232551045715809,4.133786754608154,0.04206251204013824,-0.009218183597014548
