modell,shape,arm,ziel,rec_jsd,rec_cov,laenge,E_erg,cov_solver,rel_fehler,abs_fehler,nutzen_pro_weg
laenge,korean_5,kond,14.0,0.28114633572587955,0.0413539782166481,6.5929388999938965,11.382845878601074,0.048392489552497864,-0.5290757928575789,0.5290757928575789,0.013857165074226876
laenge,korean_5,kraft,14.0,0.3189588697332508,0.033298954367637634,11.151405334472656,12.255537986755371,0.045041389763355255,-0.20347104753766743,0.20347104753766743,-0.009161049844919883
laenge,korean_5,kond+kraft,14.0,0.3140345672200059,0.03454550355672836,11.053452491760254,11.559486389160156,0.04500685632228851,-0.21046767915998188,0.21046767915998188,-0.008222148881050448
laenge,korean_5,kond,18.0,0.2811171915420111,0.041349805891513824,6.588738441467285,11.350747108459473,0.04838119074702263,-0.6339589754740398,0.6339589754740398,0.01336003070957638
laenge,korean_5,kraft,18.0,0.32443825568120055,0.033240906894207,11.646360397338867,12.310254096984863,0.045280441641807556,-0.3529799779256185,0.3529799779256185,-0.009354637444266754
laenge,korean_5,kond+kraft,18.0,0.3174577136160926,0.03462915122509003,11.529200553894043,11.559680938720703,0.04528449475765228,-0.3594888581169976,0.3594888581169976,-0.008119619974152774
laenge,digit_5,frei,nan,0.13838539570464353,0.032128289341926575,5.496035575866699,4.062392234802246,0.03763291984796524,nan,nan,nan
laenge,digit_5,kond,4.0,0.13737931694462133,0.032081522047519684,5.458801746368408,4.0035719871521,0.03758537024259567,0.36470043659210205,0.36470043659210205,-0.02702055559631284
laenge,digit_5,kraft,4.0,0.12863820670043405,0.03317205607891083,4.000230312347412,3.497652053833008,0.037151433527469635,5.7578086853027344e-05,5.7578086853027344e-05,-0.006516348913812872
laenge,digit_5,kond+kraft,4.0,0.1298022128421791,0.03310732543468475,4.000410079956055,3.497833251953125,0.03720518946647644,0.00010251998901367188,0.00010251998901367188,-0.00573885834785022
laenge,digit_5,kond,6.0,0.13720410588005771,0.03202325850725174,5.461312294006348,4.018348217010498,0.03748539835214615,-0.08978128433227539,0.08978128433227539,-0.03402010873674537
laenge,digit_5,kraft,6.0,0.14609342274840148,0.03176756575703621,5.986678600311279,3.6709494590759277,0.03702408820390701,-0.0022202332814534875,0.0022202332814534875,-0.015710051217957544
laenge,digit_5,kond+kraft,6.0,0.14587787497752472,0.03178940340876579,5.9863762855529785,3.5835120677948,0.03713259845972061,-0.0022706190745035437,0.0022706190745035437,-0.0152801493428414
laenge,digit_5,kond,8.0,0.137106826538955,0.03201768174767494,5.456433296203613,4.020056247711182,0.0374738983809948,-0.31794583797454834,0.31794583797454834,-0.032285241571088266
laenge,digit_5,kraft,8.0,0.16848531774669404,0.028185926377773285,7.805819511413574,3.499302864074707,0.03469215705990791,-0.024272561073303223,0.024272561073303223,-0.013031488174639118
laenge,digit_5,kond+kraft,8.0,0.16720811456377024,0.02804241143167019,7.808743476867676,3.4539084434509277,0.034636251628398895,-0.023907065391540527,0.023907065391540527,-0.012462757984547804
laenge,digit_5,kond,11.0,0.13719113331045849,0.032055146992206573,5.450322151184082,4.011135578155518,0.03752001374959946,-0.5045161680741743,0.5045161680741743,-0.026124981938602663
laenge,digit_5,kraft,11.0,0.19568305616781198,0.027348682284355164,9.70841121673584,3.5966835021972656,0.03682047501206398,-0.1174171621149237,0.1174171621149237,-0.013602220064910025
laenge,digit_5,kond+kraft,11.0,0.1931865163095206,0.02701650746166706,9.725458145141602,3.5420844554901123,0.03657206520438194,-0.11586744135076354,0.11586744135076354,-0.012957116416549565
laenge,digit_5,kond,14.0,0.13724553079575774,0.03207382559776306,5.446364402770996,4.003133773803711,0.037541113793849945,-0.6109739712306431,0.6109739712306431,-0.022948218007446175
laenge,digit_5,kraft,14.0,0.20846957808576208,0.0275457501411438,10.59796142578125,3.6785998344421387,0.038523510098457336,-0.2430027553013393,0.2430027553013393,-0.01373680928394762
laenge,digit_5,kond+kraft,14.0,0.20638028063645583,0.027047738432884216,10.612105369567871,3.6326353549957275,0.03810839354991913,-0.24199247360229492,0.24199247360229492,-0.013290452959716573
laenge,digit_5,kond,18.0,0.1372213913962797,0.03206755220890045,5.448937892913818,4.000900745391846,0.03753839433193207,-0.6972812281714545,0.6972812281714545,-0.02471468308809088
laenge,digit_5,kraft,18.0,0.21236666320100733,0.027654506266117096,10.846725463867188,3.695516347885132,0.03893992304801941,-0.3974041408962674,0.3974041408962674,-0.013826491358109717
laenge,digit_5,kond+kraft,18.0,0.2106579625026969,0.02725086361169815,10.853567123413086,3.6538357734680176,0.03867308795452118,-0.397024048699273,0.397024048699273,-0.013489900368603962
laenge,a_lc,frei,nan,0.13247446793151438,0.02726106531918049,4.479931831359863,5.784632682800293,0.03142563998699188,nan,nan,nan
laenge,a_lc,kond,4.0,0.13199994458740713,0.027254369109869003,4.465481281280518,5.762606620788574,0.031397588551044464,0.1163703203201294,0.1163703203201294,-0.03283773569183968
laenge,a_lc,kraft,4.0,0.12515618149032082,0.02627585455775261,4.000039100646973,5.1673150062561035,0.0300635676831007,9.775161743164062e-06,9.775161743164062e-06,-0.015249838084277906
