E_ergodic_exploit_max,E_ergodic_exploit_mean,E_ergodic_exploit_median,E_ergodic_exploit_per_length_max,E_ergodic_exploit_per_length_mean,E_ergodic_exploit_per_length_median,E_ergodic_explore_max,E_ergodic_explore_mean,E_ergodic_explore_median,E_ergodic_explore_per_length_max,E_ergodic_explore_per_length_mean,E_ergodic_explore_per_length_median,E_ergodic_total_max,E_ergodic_total_mean,E_ergodic_total_median,E_ergodic_total_per_length_max,E_ergodic_total_per_length_mean,E_ergodic_total_per_length_median,coverage_max,coverage_mean,coverage_median,coverage_per_length_max,coverage_per_length_mean,coverage_per_length_median,explore_exploit_ratio_max,explore_exploit_ratio_mean,explore_exploit_ratio_median,n,path_len_max,path_len_mean,path_len_median,shape
0.3179808557033539,0.09535163678228856,0.08532705530524254,0.06604655856199612,0.016974280473407932,0.01102057253472082,50.707725524902344,16.090072004497053,14.361222743988037,11.298529834878948,2.428675278992151,1.9012461616838248,50.86002764105797,16.18542364127934,14.422733180224895,11.332465295116746,2.4456495594655587,1.9094283831686147,0.09825040400028229,0.047885499778203666,0.043691929429769516,0.028892867411856652,0.00787502469414473,0.007178556697531527,0.18510599544731132,0.0160324300016055,0.005421266686514778,80,9.747235298156738,6.981523448228836,8.42746353149414,A
0.36193525791168213,0.09280144064687193,0.07720955461263657,0.09787795321535624,0.016880865174581806,0.009226595584817643,47.96194839477539,13.954027001559734,12.34361982345581,10.553542941920808,2.1845561925360246,1.7486629738638542,48.160199984908104,14.046828442206607,12.490578569471836,10.59716620452366,2.2014370577106064,1.7550901801055114,0.11252477020025253,0.04455158885102719,0.03774205222725868,0.03236888641431958,0.007495482823399041,0.005401515052489016,0.24661048697998003,0.024138472239198166,0.006765642357092962,80,11.262979507446289,7.01234104335308,8.415932178497314,greek_upper_0
0.40654534101486206,0.12262577139772475,0.10604787990450859,0.08852974330874587,0.02040149504228238,0.014975116336732635,53.653446197509766,18.299624283611774,15.567640781402588,11.68363117294094,2.747106139573416,2.399702344811332,54.05999153852463,18.4222500550095,15.62768211774528,11.772160916249685,2.767507634615699,2.4273187816292086,0.12405253946781158,0.05356880964245647,0.051199572160840034,0.03143807654804627,0.008553511156307238,0.007808946250710273,0.18902087338792026,0.016999480414718788,0.006967580990621358,80,9.523926734924316,7.0367997765541075,8.43181324005127,korean_5
0.33834290504455566,0.11360131255351007,0.10352947935461998,0.08705997437576878,0.019667105620914314,0.012550069702458078,61.46229553222656,15.842975966073572,15.333114624023438,13.741258024080931,2.544611762256012,1.9762832404868846,61.5897725969553,15.956577278627083,15.410039696842432,13.7697583464887,2.5642788678769257,1.9954094493702268,0.1285090446472168,0.047894038865342735,0.04356420040130615,0.02873104438475845,0.008012017054113868,0.006114245822961537,0.767734478945552,0.024609486443483958,0.007104501259186555,80,10.469648361206055,7.0151654243469235,8.41447639465332,digit_5
0.2884565591812134,0.11485229758545756,0.1096281073987484,0.08246413256046202,0.02023209351125865,0.014876200468798853,131.91990661621094,22.067196282185613,15.786652565002441,13.416972569163903,3.130323092054719,2.1375735595812766,132.0047447308898,22.18204857977107,15.888665083795786,13.425601067217478,3.150555185565978,2.1629493664824393,0.10194019228219986,0.045558150741271675,0.03673268295824528,0.023549046864524775,0.007507953646101126,0.007768580784225248,0.3924731297160599,0.031447398979951045,0.007958692217334352,80,9.832315444946289,6.9406513422727585,8.429049968719482,a_lc
0.43199795484542847,0.0819233461515978,0.07304871454834938,0.21187300674488183,0.015304309328759836,0.010772465948231044,111.2986068725586,17.383421362936495,7.966282844543457,14.272231330797842,2.446520946060911,1.192354553920566,111.42432510852814,17.465344709088093,8.08960211649537,14.321051964561562,2.461825255389671,1.2113095861580458,0.21214179694652557,0.0686395765747875,0.05880158208310604,0.08165366595236698,0.011160989261735036,0.009294880177816383,0.07681237171552575,0.011362183352420722,0.008078224403702124,80,9.78341007232666,7.137866553664208,8.416909217834473,rand_gmm_10
0.2542785108089447,0.07798505392856896,0.06373807415366173,0.12851994192735092,0.014563803654741289,0.008640793153631292,61.04351806640625,16.3351083509624,13.404466152191162,18.52677088312078,2.479377956057111,2.150050103398766,61.10789655894041,16.41309340489097,13.474814867600799,18.65529082504813,2.4939417597118525,2.158563175179279,0.16099941730499268,0.06046536839567125,0.05635161139070988,0.08590809565652258,0.010028796519314691,0.008216940730678189,0.18927108223087497,0.01245668908626463,0.004522038384243501,80,10.004690170288086,7.117224082350731,8.429274559020996,rand_gmm_20
1.005047082901001,0.19227634267881513,0.15446139872074127,0.3386248201734448,0.03906693741044922,0.018992605259391483,103.94508361816406,35.43600979223847,32.55433654785156,31.463177038199095,5.6933056262155315,4.888460839765199,104.07890579104424,35.62828613491729,32.7159783616662,31.761709622131516,5.73237256362598,4.909511519675723,0.2335692197084427,0.05479830265976489,0.04349512606859207,0.08051511977735933,0.010299419275521485,0.008076862571375569,0.2899416225736265,0.02062546460042796,0.0054862728944546505,80,9.827930450439453,6.851980152726173,8.41049575805664,rand_ana_poly_10
0.31053367257118225,0.15099842473864555,0.13494321703910828,0.07970478341407013,0.02690150321176656,0.01783205127959287,229.4569091796875,28.248285245522858,20.01887321472168,24.110658320969176,3.871241996389826,2.409852843705337,229.5918523967266,28.399283670261504,20.152905590832233,24.124837758016394,3.8981434996015927,2.419512518900093,0.18400299549102783,0.05072376823518425,0.038999175652861595,0.02617116699652812,0.008340572895445519,0.006968449680139613,0.307037144640759,0.025522790173809585,0.008022526142245573,80,9.516824722290039,6.854844066500664,8.404059410095215,rand_ana_poly_20
0.2333616465330124,0.12928298972547053,0.1200919859111309,0.052036201032019586,0.021036106852830663,0.016502982135762602,66.11083984375,20.961487828940154,20.34647846221924,10.091083302790722,3.061476835184907,2.642816853904703,66.21841672062874,21.090770818665625,20.472915440797806,10.12064046054575,3.082512942037737,2.656125563238847,0.08315811306238174,0.04264698374317959,0.036978740245103836,0.018300080399861578,0.006886447664509599,0.005256800223627101,0.5230348741485987,0.028048314967976877,0.006796803383781033,80,10.521419525146484,7.0285319745540615,8.397752285003662,rand_ana_poly_30
