shape,mission,coverage,ergodic,info_gain,belief_rmse,path_len,wallclock
A,orakel,0.036939527839422226,0.009319337084889412,865.923583984375,0.21408326923847198,2.9301557540893555,2.1235968980472535
A,glaube-1,0.15199829638004303,0.19512701034545898,1647.6837158203125,0.1464678943157196,4.382285118103027,0.4043691090773791
A,glaube-R,0.0253354012966156,0.04578696936368942,2160.80517578125,0.13736875355243683,17.34101104736328,1.2332980821374804
A,zweistufig,0.050028491765260696,0.037822820246219635,1940.621337890625,0.1189146637916565,8.992715835571289,0.8217058228328824
A,B-warm,0.06734973192214966,0.1243523508310318,1637.564208984375,0.16077564656734467,5.529326438903809,1.3007556160446256
A,maeher,0.018389683216810226,0.04862668365240097,1501.0205078125,0.11809969693422318,17.600000381469727,0.0
greek_upper_0,orakel,0.036366548389196396,0.003343917429447174,910.67138671875,0.18027085065841675,3.1731059551239014,0.4123656339943409
greek_upper_0,glaube-1,0.12722696363925934,0.17765510082244873,1518.6474609375,0.15732121467590332,3.640040874481201,0.40814569708891213
greek_upper_0,glaube-R,0.026941971853375435,0.030971841886639595,2172.21728515625,0.10766009241342545,13.735464096069336,1.2126195821911097
greek_upper_0,zweistufig,0.03883151337504387,0.05252294987440109,1945.47021484375,0.12903961539268494,9.174714088439941,0.8092203249689192
greek_upper_0,B-warm,0.0627998560667038,0.09592317789793015,1743.12548828125,0.11271002888679504,5.929914474487305,0.795574669027701
greek_upper_0,maeher,0.019434567540884018,0.04865178093314171,1620.775390625,0.13260532915592194,14.079999923706055,0.0
korean_5,orakel,0.04722626134753227,0.003950600046664476,1185.9345703125,0.254777729511261,3.0955491065979004,0.4102672669105232
korean_5,glaube-1,0.08269540220499039,0.1316138505935669,1643.8880615234375,0.15871599316596985,3.701295852661133,0.408266827929765
korean_5,glaube-R,0.025909895077347755,0.0385807529091835,2187.509765625,0.11562630534172058,16.033767700195312,1.2279756870120764
korean_5,zweistufig,0.04611503332853317,0.04941180348396301,1859.0634765625,0.14507082104682922,8.681292533874512,0.8195086179766804
korean_5,B-warm,0.05858606472611427,0.11022990942001343,1772.0948486328125,0.136373832821846,5.194033622741699,0.8075378793291748
korean_5,maeher,0.019128667190670967,0.04826439544558525,1644.9423828125,0.13725106418132782,15.84000015258789,0.0
digit_5,orakel,0.03642959147691727,0.0018228741828352213,1082.8359375,0.24988950788974762,2.9176185131073,0.404844974167645
digit_5,glaube-1,0.07352309674024582,0.12745821475982666,1738.7437744140625,0.1606733500957489,4.895843982696533,0.410228927154094
digit_5,glaube-R,0.027858136221766472,0.03355630114674568,2266.529052734375,0.11649120599031448,15.734779357910156,1.2349481177516282
digit_5,zweistufig,0.041841499507427216,0.053621821105480194,2072.669189453125,0.131331205368042,8.937605857849121,0.822382802143693
digit_5,B-warm,0.05309281125664711,0.10029304027557373,1804.8193359375,0.14884521067142487,5.225724697113037,0.8025703399907798
digit_5,maeher,0.01882316917181015,0.05238637700676918,1734.6978759765625,0.13708540797233582,15.84000015258789,0.0
a_lc,orakel,0.036881912499666214,0.00186235923320055,810.320556640625,0.21605147421360016,2.4275248050689697,0.40983655489981174
a_lc,glaube-1,0.09010258316993713,0.21468991041183472,1505.05126953125,0.16456639766693115,4.106071472167969,0.4124717859085649
a_lc,glaube-R,0.026838524267077446,0.04215200990438461,2094.412841796875,0.1315608024597168,13.777217864990234,1.2156815791968256
a_lc,zweistufig,0.05883287265896797,0.07860416918992996,1720.2176513671875,0.17997203767299652,8.130023956298828,0.8022713391110301
a_lc,B-warm,0.05117167532444,0.1009662002325058,1625.298095703125,0.12636926770210266,5.449414253234863,0.7994360870216042
a_lc,maeher,0.019330255687236786,0.04748280718922615,1576.2705078125,0.12589366734027863,14.079999923706055,0.0
rand_gmm_10,orakel,0.0654342994093895,0.00583697110414505,1477.50048828125,0.049050718545913696,4.5228400230407715,0.40778755699284375
rand_gmm_10,glaube-1,0.09787923097610474,0.057473599910736084,1637.46240234375,0.054838456213474274,4.8395185470581055,0.40613809088245034
rand_gmm_10,glaube-R,0.030010296031832695,0.010802941396832466,2267.5927734375,0.02600635588169098,17.47176742553711,1.2183744108770043
rand_gmm_10,zweistufig,0.03820298612117767,0.015703748911619186,2103.00927734375,0.03595469519495964,9.458011627197266,0.813522286945954
rand_gmm_10,B-warm,0.05505803972482681,0.022282063961029053,1766.474609375,0.036194801330566406,5.492247581481934,0.7996335998177528
rand_gmm_10,maeher,0.019412029534578323,0.015674784779548645,1616.296875,0.046612177044153214,17.600000381469727,0.0
rand_gmm_20,orakel,0.058753952383995056,0.007798937149345875,1216.12890625,0.0658508911728859,4.54018497467041,0.40610567084513605
rand_gmm_20,glaube-1,0.08781570196151733,0.1436513066291809,1669.177734375,0.03359370306134224,4.753495216369629,0.4035681199748069
rand_gmm_20,glaube-R,0.029417600482702255,0.01891106180846691,2263.679931640625,0.03259454667568207,16.222370147705078,1.211719716200605
rand_gmm_20,zweistufig,0.04096854105591774,0.053694117814302444,1968.0400390625,0.04051525145769119,9.912805557250977,0.8101439541205764
rand_gmm_20,B-warm,0.05555441975593567,0.11628368496894836,1803.430419921875,0.03967934846878052,6.643614768981934,0.8051056037656963
rand_gmm_20,maeher,0.019916139543056488,0.03980856016278267,1694.000732421875,0.032483380287885666,15.84000015258789,0.0
rand_ana_poly_10,orakel,0.03157862648367882,0.006705732550472021,1288.6387939453125,0.38477301597595215,2.288170337677002,0.40969720599241555
rand_ana_poly_10,glaube-1,0.08840123564004898,0.11652425676584244,1427.4071044921875,0.23943021893501282,3.8086633682250977,0.4120401560794562
rand_ana_poly_10,glaube-R,0.02484806440770626,0.04590590298175812,2132.581298828125,0.18970268964767456,13.332330703735352,1.2269106598105282
rand_ana_poly_10,zweistufig,0.031366121023893356,0.030479397624731064,1852.8470458984375,0.21096405386924744,9.593620300292969,0.8206535191275179
rand_ana_poly_10,B-warm,0.03972849249839783,0.027828676626086235,1755.8262939453125,0.17998382449150085,5.197239875793457,0.8010055059567094
rand_ana_poly_10,maeher,0.02006673812866211,0.16226379573345184,1606.116455078125,0.18387243151664734,13.200000762939453,0.0
rand_ana_poly_20,orakel,0.02874913066625595,0.002517632907256484,1027.236083984375,0.31898555159568787,2.4760589599609375,0.4134178520180285
rand_ana_poly_20,glaube-1,0.0852448046207428,0.13698668777942657,1604.443115234375,0.2045900821685791,4.470654010772705,0.41100419289432466
