shape,koerper,sdf_max_basis,sdf_max_align,cos_tn_basis,cos_tn_align,coverage_xy_basis,coverage_xy_align,laenge_basis,laenge_align
A,Sphere,0.001787334680557251,0.002149224281311035,0.01346261240541935,0.007880675606429577,0.03226407617330551,0.032203372567892075,5.120731353759766,5.115279197692871
A,Pyramid,0.004010336473584175,0.002249074401333928,0.044203948229551315,0.009045897051692009,0.03994830697774887,0.039958372712135315,5.71120023727417,5.79841947555542
A,Torus,0.001057550311088562,0.006180703639984131,0.017897484824061394,0.009120961651206017,0.03590557724237442,0.03615657985210419,5.16165828704834,5.188909530639648
greek_upper_0,Sphere,0.001787334680557251,0.002149224281311035,0.01346261240541935,0.007880675606429577,0.03226407617330551,0.032203372567892075,5.120731353759766,5.115279197692871
greek_upper_0,Pyramid,0.004010336473584175,0.002249074401333928,0.044203948229551315,0.009045897051692009,0.03994830697774887,0.039958372712135315,5.71120023727417,5.79841947555542
greek_upper_0,Torus,0.001057550311088562,0.006180703639984131,0.017897484824061394,0.009120961651206017,0.03590557724237442,0.03615657985210419,5.16165828704834,5.188909530639648
korean_5,Sphere,0.0025306642055511475,0.004411786794662476,0.02492186240851879,0.014243364334106445,0.04256941378116608,0.04263424500823021,6.615236282348633,6.624793529510498
korean_5,Pyramid,0.003525508800521493,0.004195744637399912,0.039252497255802155,0.019595805555582047,0.04680109769105911,0.0459461510181427,7.503298759460449,7.582479953765869
korean_5,Torus,0.002845451235771179,0.015564560890197754,0.034618254750967026,0.01861553266644478,0.04597561061382294,0.045395299792289734,5.925708293914795,5.984814643859863
digit_5,Sphere,0.0017946064472198486,0.0043236613273620605,0.025321833789348602,0.011360492557287216,0.03599833697080612,0.035660311579704285,5.321846961975098,5.338583469390869
digit_5,Pyramid,0.004442708101123571,0.0052957432344555855,0.06884178519248962,0.020008552819490433,0.049490585923194885,0.050417255610227585,5.498802185058594,5.6744279861450195
digit_5,Torus,0.0013701915740966797,0.002887710928916931,0.02421618439257145,0.01186264120042324,0.032781679183244705,0.03270542994141579,5.134863376617432,5.169059753417969
a_lc,Sphere,0.0022135376930236816,0.004241377115249634,0.02207072079181671,0.00958242453634739,0.027102777734398842,0.02694568783044815,4.02432918548584,4.036103248596191
a_lc,Pyramid,0.005102231632918119,0.00526993116363883,0.05282142758369446,0.02485537901520729,0.033368997275829315,0.034378379583358765,4.654142379760742,4.786513328552246
a_lc,Torus,0.0010241717100143433,0.012849807739257812,0.022929459810256958,0.010761769488453865,0.034359872341156006,0.03409043699502945,4.378932476043701,4.390826225280762
rand_gmm_10,Sphere,0.002773463726043701,0.00416293740272522,0.025699079036712646,0.01829785853624344,0.04865400493144989,0.048639170825481415,9.80069351196289,9.82295036315918
rand_gmm_10,Pyramid,0.008830335922539234,0.010438465513288975,0.051369376480579376,0.040647052228450775,0.05111103504896164,0.05093119293451309,9.911308288574219,9.92978572845459
rand_gmm_10,Torus,0.002789407968521118,0.004625722765922546,0.030552880838513374,0.019831310957670212,0.04575121030211449,0.04575476050376892,9.041893005371094,9.065956115722656
rand_gmm_20,Sphere,0.0016606450080871582,0.008556544780731201,0.016320277005434036,0.010656677186489105,0.04407084733247757,0.04400726407766342,9.102815628051758,9.121299743652344
