shape,kappa_max_schranke,kappa_peak_frei,kappa_peak_constr,kappa_p99_frei,kappa_p99_constr,anteil_ueber_frei,anteil_ueber_constr,E_erg_frei,E_erg_constr,coverage_frei,coverage_constr,laenge_frei,laenge_constr
A,19.93389129638672,821.6934204101562,22.325651168823242,316.35870361328125,21.721590042114258,0.20078739523887634,0.20866142213344574,1.7781344652175903,1.9986310005187988,0.03515952080488205,0.03273355960845947,4.49434757232666,4.533336639404297
greek_upper_0,19.93389129638672,821.6934204101562,22.325651168823242,316.35870361328125,21.721590042114258,0.20078739523887634,0.20866142213344574,1.7781344652175903,1.9986310005187988,0.03515952080488205,0.03273355960845947,4.49434757232666,4.533336639404297
korean_5,24.082670211791992,1108.1417236328125,26.99989891052246,355.7201843261719,26.408138275146484,0.20078739523887634,0.13385826349258423,4.548631191253662,4.707615852355957,0.04358763247728348,0.044422611594200134,6.051522731781006,6.208097457885742
digit_5,24.84799575805664,8155.8662109375,26.237590789794922,2235.961669921875,25.651058197021484,0.20078739523887634,0.14173227548599243,4.378968715667725,4.488179683685303,0.03747034817934036,0.033265795558691025,4.9241228103637695,4.928210735321045
a_lc,34.434715270996094,6458.00341796875,36.83460998535156,374.9552917480469,35.69734573364258,0.20078739523887634,0.07874015718698502,3.0569911003112793,3.2272279262542725,0.030457841232419014,0.03363023325800896,3.8267643451690674,3.8548028469085693
rand_gmm_10,14.097415924072266,400.8016357421875,16.67583465576172,227.11904907226562,15.94716739654541,0.20078739523887634,0.18897637724876404,3.9329817295074463,3.804558515548706,0.053513865917921066,0.047565583139657974,10.527044296264648,10.837180137634277
rand_gmm_20,13.719860076904297,26772.8359375,18.652528762817383,411.0323181152344,17.817399978637695,0.20078739523887634,0.28740158677101135,2.337354898452759,1.8085969686508179,0.056243713945150375,0.045341186225414276,9.813211441040039,10.618522644042969
rand_ana_poly_10,37.378231048583984,4975.486328125,39.9379768371582,537.4146728515625,39.1678581237793,0.20078739523887634,0.17716535925865173,2.0186522006988525,2.928417444229126,0.02995975688099861,0.037452928721904755,3.597459077835083,3.6167562007904053
rand_ana_poly_20,24.749839782714844,1298.665283203125,27.73652458190918,264.3306579589844,27.599571228027344,0.20078739523887634,0.32283464074134827,1.2675954103469849,2.0205183029174805,0.03122500330209732,0.033222660422325134,3.4822335243225098,3.536947250366211
rand_ana_poly_30,21.983837127685547,596.7928466796875,26.371212005615234,528.1267700195312,25.075485229492188,0.20078739523887634,0.31496062874794006,4.534753799438477,6.327428817749023,0.036582477390766144,0.039388507604599,4.61954402923584,4.812795639038086
rand_gmm_complex_0,9.392938613891602,3370.249267578125,14.005278587341309,215.11569213867188,12.570002555847168,0.20078739523887634,0.27559053897857666,1.8467382192611694,1.3235865831375122,0.06248219311237335,0.05084093660116196,10.522509574890137,11.271712303161621
rand_gmm_complex_10,14.966432571411133,336.71112060546875,18.818889617919922,177.652099609375,17.922130584716797,0.20078739523887634,0.16141732037067413,2.034879446029663,2.4711978435516357,0.05254992097616196,0.0557074099779129,10.02839469909668,10.305059432983398
rand_gmm_complex_20,14.708745002746582,456.9834899902344,17.672937393188477,218.42160034179688,17.316408157348633,0.20078739523887634,0.19685038924217224,3.8114492893218994,3.3517096042633057,0.05652495473623276,0.05131117254495621,9.376543045043945,9.804516792297363
rand_gmm_complex_30,10.351937294006348,944.3806762695312,13.529664039611816,73.11601257324219,12.722832679748535,0.20078739523887634,0.25590550899505615,1.6305100917816162,1.3976761102676392,0.051098570227622986,0.047754522413015366,9.565381050109863,10.063942909240723
rand_ana_poly_complex_0,19.860652923583984,199.9469451904297,23.088172912597656,109.99205017089844,22.702733993530273,0.20078739523887634,0.25590550899505615,1.202082872390747,2.84726619720459,0.034214477986097336,0.04162167012691498,4.594614028930664,4.661046981811523
rand_ana_poly_complex_10,19.53575325012207,605.3764038085938,24.09478187561035,318.65936279296875,22.673797607421875,0.20078739523887634,0.25984251499176025,1.1939423084259033,2.005272626876831,0.04214731976389885,0.039268720895051956,5.919709205627441,5.96219539642334
rand_ana_poly_complex_20,21.60377311706543,6464.38134765625,24.96859359741211,376.06201171875,24.45010757446289,0.20078739523887634,0.29921260476112366,1.3162312507629395,3.696516990661621,0.029768915846943855,0.03747710958123207,4.014719009399414,4.115924835205078
rand_ana_poly_complex_30,27.28490447998047,1677.7703857421875,32.9752197265625,935.5088500976562,31.211002349853516,0.20078739523887634,0.22834645211696625,3.2298314571380615,3.885019302368164,0.031792815774679184,0.03711070492863655,5.19134521484375,5.38753604888916
organic_0,18.302949905395508,5341.91015625,28.324371337890625,1458.2073974609375,26.363691329956055,0.20078739523887634,0.32677164673805237,1.339992880821228,1.2907737493515015,0.04237578064203262,0.04279221594333649,6.7664361000061035,7.209712982177734
organic_10,27.625377655029297,1177.9881591796875,33.386207580566406,566.30517578125,31.686416625976562,0.20078739523887634,0.29527559876441956,4.153406620025635,3.485813856124878,0.042235467582941055,0.0484742745757103,5.851215362548828,6.1044464111328125
organic_20,24.559789657592773,1398.8895263671875,27.887821197509766,253.3570556640625,27.447139739990234,0.20078739523887634,0.31102362275123596,1.5809216499328613,2.6527349948883057,0.035858239978551865,0.048139527440071106,4.697603225708008,4.808508396148682
organic_30,36.87125015258789,430.5839538574219,39.5648193359375,304.99859619140625,39.16508102416992,0.20078739523887634,0.22047244012355804,1.1446253061294556,2.684166431427002,0.02583206072449684,0.03255276009440422,3.355243682861328,3.361931085586548
cjk_0,18.61707878112793,287.4432067871094,20.959075927734375,251.5975799560547,20.599578857421875,0.20078739523887634,0.18503937125205994,4.9770612716674805,4.467508792877197,0.04989158362150192,0.048555634915828705,6.901492118835449,6.994899272918701
