shape,ziel,u,laenge_frei,laenge_kraft,laenge_kond,relf_kraft,relf_kond,E_erg_frei,E_erg_kraft,E_erg_kond,cov_frei,cov_kraft,cov_kond
rand_ana_poly_10,11.0,-0.009,3.661,9.446,3.638,-0.1413,-0.6693,2.0187,3.3351,1.9626,0.02996,0.03295,0.03012
rand_ana_poly_10,14.0,0.543,3.661,10.037,3.71,-0.2831,-0.735,2.0187,3.6239,2.3588,0.02996,0.03471,0.03165
rand_ana_poly_10,18.0,1.128,3.661,9.939,3.648,-0.4478,-0.7973,2.0187,3.6045,1.7218,0.02996,0.03455,0.02899
rand_ana_poly_20,4.0,-2.176,3.521,4.0,3.644,-0.0,-0.089,1.2676,1.1736,1.2146,0.03123,0.02925,0.03174
rand_ana_poly_20,6.0,-1.343,3.521,5.968,3.527,-0.0054,-0.4121,1.2676,1.158,1.1628,0.03123,0.02803,0.03081
rand_ana_poly_20,8.0,-0.721,3.521,7.68,3.524,-0.0399,-0.5595,1.2676,1.3531,1.0306,0.03123,0.02846,0.03122
rand_ana_poly_20,11.0,-0.009,3.521,9.26,3.569,-0.1582,-0.6755,1.2676,1.7747,1.3757,0.03123,0.02849,0.03126
rand_ana_poly_20,14.0,0.543,3.521,9.789,3.553,-0.3008,-0.7462,1.2676,1.9002,1.1057,0.03123,0.02877,0.03104
rand_ana_poly_20,18.0,1.128,3.521,9.639,3.53,-0.4645,-0.8039,1.2676,1.782,1.4386,0.03123,0.02855,0.03125
rand_ana_poly_30,4.0,-2.176,4.694,4.0,4.616,-0.0,0.154,4.5348,3.9999,4.5338,0.03658,0.03682,0.03619
rand_ana_poly_30,6.0,-1.343,4.694,5.958,4.735,-0.0069,-0.2108,4.5348,4.1988,4.3405,0.03658,0.0311,0.03525
rand_ana_poly_30,8.0,-0.721,4.694,7.632,4.699,-0.046,-0.4127,4.5348,4.3528,3.8272,0.03658,0.03239,0.03357
rand_ana_poly_30,11.0,-0.009,4.694,9.242,4.71,-0.1598,-0.5718,4.5348,4.2033,4.6061,0.03658,0.03238,0.0366
rand_ana_poly_30,14.0,0.543,4.694,9.888,4.836,-0.2937,-0.6546,4.5348,4.1321,4.6391,0.03658,0.03218,0.03576
rand_ana_poly_30,18.0,1.128,4.694,9.932,4.761,-0.4482,-0.7355,4.5348,4.0635,5.0396,0.03658,0.03169,0.03725
rand_gmm_complex_0,4.0,-2.176,10.631,4.105,10.726,0.0263,1.6814,1.8467,3.2538,1.818,0.06248,0.06837,0.06071
rand_gmm_complex_0,6.0,-1.343,10.631,6.204,10.559,0.034,0.7598,1.8467,1.8332,1.8373,0.06248,0.05877,0.06127
rand_gmm_complex_0,8.0,-0.721,10.631,8.281,10.509,0.0351,0.3136,1.8467,1.5581,1.8036,0.06248,0.05974,0.06054
rand_gmm_complex_0,11.0,-0.009,10.631,10.852,10.653,-0.0135,-0.0316,1.8467,1.8829,1.8767,0.06248,0.06297,0.06284
rand_gmm_complex_0,14.0,0.543,10.631,12.446,10.575,-0.111,-0.2446,1.8467,2.2337,1.8421,0.06248,0.06219,0.06142
