shape,ziel,u,laenge_frei,laenge_kraft,laenge_kond,relf_kraft,relf_kond,E_erg_frei,E_erg_kraft,E_erg_kond,cov_frei,cov_kraft,cov_kond
A,4.0,-2.176,4.546,4.0,5.561,0.0,0.3901,1.7781,1.795,32.0375,0.03516,0.03578,0.06451
A,6.0,-1.343,4.546,5.976,4.442,-0.004,-0.2596,1.7781,1.6102,3.1752,0.03516,0.03536,0.03853
A,8.0,-0.721,4.546,7.727,4.75,-0.0341,-0.4063,1.7781,1.4236,9.2523,0.03516,0.03348,0.04181
A,11.0,-0.009,4.546,9.436,4.783,-0.1422,-0.5652,1.7781,1.5061,2.799,0.03516,0.03325,0.04156
A,14.0,0.543,4.546,10.117,4.829,-0.2773,-0.6551,1.7781,1.6105,6.0258,0.03516,0.0333,0.04014
A,18.0,1.128,4.546,10.153,4.191,-0.4359,-0.7672,1.7781,1.6176,4.7707,0.03516,0.03374,0.0407
digit_5,4.0,-2.176,4.979,4.0,6.278,0.0001,0.5696,4.379,5.1657,18.9042,0.03747,0.03887,0.07913
digit_5,6.0,-1.343,4.979,5.98,5.397,-0.0033,-0.1004,4.379,4.8881,8.5809,0.03747,0.03688,0.04295
digit_5,8.0,-0.721,4.979,7.764,5.619,-0.0295,-0.2977,4.379,4.0397,23.8809,0.03747,0.03537,0.06476
digit_5,11.0,-0.009,4.979,9.685,5.055,-0.1196,-0.5404,4.379,3.7206,7.4296,0.03747,0.03354,0.04497
digit_5,14.0,0.543,4.979,10.565,5.558,-0.2453,-0.603,4.379,3.6671,16.5193,0.03747,0.03304,0.05643
digit_5,18.0,1.128,4.979,10.764,4.92,-0.402,-0.7267,4.379,3.6588,4.6469,0.03747,0.03302,0.03681
organic_0,4.0,-2.176,6.86,4.007,8.983,0.0017,1.2457,1.34,1.2978,16.6763,0.04238,0.04995,0.06777
organic_0,6.0,-1.343,6.86,5.995,8.259,-0.0009,0.3766,1.34,1.2106,2.9629,0.04238,0.04219,0.04499
organic_0,8.0,-0.721,6.86,7.802,8.993,-0.0248,0.1242,1.34,1.3712,5.5967,0.04238,0.04102,0.0503
organic_0,11.0,-0.009,6.86,9.755,7.579,-0.1132,-0.311,1.34,1.5065,1.3393,0.04238,0.0405,0.0452
organic_0,14.0,0.543,6.86,10.727,8.199,-0.2338,-0.4144,1.34,1.5664,2.4687,0.04238,0.04109,0.04439
organic_0,18.0,1.128,6.86,11.11,6.413,-0.3828,-0.6437,1.34,1.5927,1.6249,0.04238,0.04166,0.04364
