shape,ziel,u,laenge_frei,laenge_kraft,laenge_kond,relf_kraft,relf_kond,E_erg_frei,E_erg_kraft,E_erg_kond,cov_frei,cov_kraft,cov_kond
A,4.0,-2.176,4.546,4.0,4.34,0.0,0.0851,1.7781,1.795,13.3665,0.03516,0.03578,0.048
A,6.0,-1.343,4.546,5.976,4.461,-0.004,-0.2564,1.7781,1.6102,2.2997,0.03516,0.03536,0.03699
A,8.0,-0.721,4.546,7.727,4.528,-0.0341,-0.4339,1.7781,1.4236,3.9992,0.03516,0.03348,0.03822
A,11.0,-0.009,4.546,9.436,4.699,-0.1422,-0.5728,1.7781,1.5061,2.1831,0.03516,0.03325,0.03795
A,14.0,0.543,4.546,10.117,4.643,-0.2773,-0.6683,1.7781,1.6105,3.3772,0.03516,0.0333,0.03832
A,18.0,1.128,4.546,10.153,4.536,-0.4359,-0.748,1.7781,1.6176,2.0965,0.03516,0.03374,0.03713
digit_5,4.0,-2.176,4.979,4.0,5.068,0.0001,0.2671,4.379,5.1657,12.6579,0.03747,0.03887,0.05063
digit_5,6.0,-1.343,4.979,5.98,5.184,-0.0033,-0.136,4.379,4.8881,6.3296,0.03747,0.03688,0.03998
digit_5,8.0,-0.721,4.979,7.764,5.226,-0.0295,-0.3467,4.379,4.0397,11.9461,0.03747,0.03537,0.0481
digit_5,11.0,-0.009,4.979,9.685,5.233,-0.1196,-0.5242,4.379,3.7206,5.5411,0.03747,0.03354,0.03867
digit_5,14.0,0.543,4.979,10.565,5.158,-0.2453,-0.6315,4.379,3.6671,9.0989,0.03747,0.03304,0.04357
digit_5,18.0,1.128,4.979,10.764,5.081,-0.402,-0.7177,4.379,3.6588,4.0774,0.03747,0.03302,0.03605
organic_0,4.0,-2.176,6.86,4.007,7.499,0.0017,0.8747,1.34,1.2978,12.9239,0.04238,0.04995,0.0553
organic_0,6.0,-1.343,6.86,5.995,7.256,-0.0009,0.2093,1.34,1.2106,2.3003,0.04238,0.04219,0.04391
organic_0,8.0,-0.721,6.86,7.802,8.019,-0.0248,0.0023,1.34,1.3712,2.3873,0.04238,0.04102,0.04452
organic_0,11.0,-0.009,6.86,9.755,6.814,-0.1132,-0.3806,1.34,1.5065,0.8964,0.04238,0.0405,0.04385
organic_0,14.0,0.543,6.86,10.727,8.129,-0.2338,-0.4194,1.34,1.5664,1.8199,0.04238,0.04109,0.04438
organic_0,18.0,1.128,6.86,11.11,7.176,-0.3828,-0.6013,1.34,1.5927,1.2768,0.04238,0.04166,0.041
