shape,ziel_laenge,laenge_frei_c,laenge_constr_c,rel_fehler_frei,rel_fehler_constr,abs_rel_fehler_constr,E_erg_frei,E_erg_constr,coverage_frei,coverage_constr,laenge_frei,laenge_constr
rand_gmm_complex_20,12.33260841369629,9.486621856689453,11.310661315917969,-0.23076923076923084,-0.08286544610006208,0.08286544610006208,3.8114492893218994,3.5825695991516113,0.05652495473623276,0.05705467611551285,9.376543045043945,11.169164657592773
rand_gmm_complex_30,12.594152927398682,9.687809944152832,11.527779579162598,-0.23076923076923073,-0.08467209778882234,0.08467209778882234,1.6305100917816162,1.848919153213501,0.051098570227622986,0.053408898413181305,9.565381050109863,11.367416381835938
rand_ana_poly_complex_0,6.021130084991455,4.631638526916504,5.989412307739258,-0.23076923076923073,-0.005267744892484272,0.005267744892484272,1.202082872390747,1.0307856798171997,0.034214477986097336,0.0325016975402832,4.594614028930664,5.9227705001831055
rand_ana_poly_complex_10,7.772028160095215,5.978483200073242,7.549360275268555,-0.23076923076923084,-0.028649907107893502,0.028649907107893502,1.1939423084259033,1.3744906187057495,0.04214731976389885,0.04185677319765091,5.919709205627441,7.4614105224609375
rand_ana_poly_complex_20,5.272179174423218,4.055522441864014,5.263462066650391,-0.23076923076923073,-0.0016534164497132853,0.0016534164497132853,1.3162312507629395,1.159687876701355,0.029768915846943855,0.026986707001924515,4.014719009399414,5.149899959564209
rand_ana_poly_complex_30,6.889208030700684,5.29939079284668,6.854266166687012,-0.23076923076923084,-0.005071971097107109,0.005071971097107109,3.2298314571380615,3.3924825191497803,0.031792815774679184,0.028474122285842896,5.19134521484375,6.636551380157471
organic_0,8.917483806610107,6.859602928161621,8.508729934692383,-0.23076923076923073,-0.04583735510848197,0.04583735510848197,1.339992880821228,1.4971448183059692,0.04237578064203262,0.04098101705312729,6.7664361000061035,8.37994384765625
organic_10,7.7024500370025635,5.924961566925049,7.559041500091553,-0.23076923076923073,-0.018618561136012124,0.018618561136012124,4.153406620025635,4.084832191467285,0.042235467582941055,0.04098259657621384,5.851215362548828,7.464940071105957
organic_20,6.182838487625122,4.7560296058654785,6.151113033294678,-0.23076923076923073,-0.00513121188495258,0.00513121188495258,1.5809216499328613,1.278780221939087,0.035858239978551865,0.03319096565246582,4.697603225708008,6.052064418792725
organic_30,4.410174894332886,3.392442226409912,4.409355640411377,-0.23076923076923073,-0.00018576449713170184,0.00018576449713170184,1.1446253061294556,0.826350748538971,0.02583206072449684,0.02249436266720295,3.355243682861328,4.3473100662231445
cjk_0,9.087863206863403,6.990664005279541,8.782873153686523,-0.23076923076923073,-0.033560150085285456,0.033560150085285456,4.9770612716674805,4.3563313484191895,0.04989158362150192,0.050075333565473557,6.901492118835449,8.666927337646484
cjk_10,8.43690857887268,6.489929676055908,8.235990524291992,-0.23076923076923073,-0.02381417941209152,0.02381417941209152,3.272678852081299,2.796882390975952,0.03759004920721054,0.03471315652132034,6.401712894439697,8.128129959106445
cjk_20,8.883097362518312,6.833151817321777,8.608001708984375,-0.23076923076923084,-0.030968438406932974,0.030968438406932974,1.1706960201263428,1.354490041732788,0.042721718549728394,0.043403539806604385,6.71861457824707,8.466120719909668
