model,E_ergodic,E_total,coverage,path_len,diversity,t_infer_ms
ErgLoss w=2 (ep492),4.2538084077835085,4.751106252670288,0.053405096381902696,2.835687518119812,0.06037854243069887,245.56253934511915
ErgLoss w=5 (ep500),4.026046237945557,4.502443561553955,0.054190642163157464,2.782883496284485,0.048928961530327796,238.89424585795496
ErgLoss w=15 (ep486),3.892453453540802,4.354251117706299,0.05265562951564789,2.8467658519744874,0.0656428000703454,242.4684511340456
ErgLoss w=25 (ep485),3.1580088996887206,3.654205675125122,0.05234422862529755,2.8372206401824953,0.0622037623077631,247.39950084825978
ErgLoss w=50 (ep486),2.7962882041931154,3.3032219648361205,0.0529072667658329,2.841303596496582,0.083248221129179,248.28642112144735
SVGD solver (Referenz),2.709295415878296,3.208130965232849,0.0475813801586628,2.7644769811630248,nan,nan
