shape,mission,coverage,ergodic,info_gain,belief_rmse,path_len,wallclock
A,glaube-1,0.0838371068239212,0.08176521211862564,1290.6597900390625,0.12569881975650787,4.645707130432129,1.4931387358810753
A,glaube-R,0.027346374467015266,0.027458541095256805,1773.7052001953125,0.13841673731803894,15.358668327331543,1.2118620520923287
A,maeher,0.018921716138720512,0.0485231876373291,1368.072265625,0.14092478156089783,14.960000038146973,0.0
greek_upper_0,glaube-1,0.05856293439865112,0.08095888793468475,1211.39013671875,0.14019818603992462,5.018280982971191,0.4044778370298445
greek_upper_0,glaube-R,0.026684891432523727,0.027330175042152405,1685.6123046875,0.11713431030511856,16.23835563659668,1.2146777687594295
greek_upper_0,maeher,0.018879929557442665,0.048614948987960815,1276.2547607421875,0.13172101974487305,15.84000015258789,0.0
korean_5,glaube-1,0.1004381850361824,0.08793346583843231,1210.5623779296875,0.16620098054409027,3.931755542755127,0.407850774936378
korean_5,glaube-R,0.0330410934984684,0.02772548981010914,1723.120849609375,0.11474162340164185,15.181303977966309,1.2157599239144474
korean_5,maeher,0.019059274345636368,0.048325080424547195,1289.846435546875,0.1456601917743683,14.960000038146973,0.0
digit_5,glaube-1,0.05008174106478691,0.05798953026533127,1359.599853515625,0.12712059915065765,5.354625701904297,0.4071072719525546
digit_5,glaube-R,0.030436545610427856,0.02441709116101265,1833.944580078125,0.10701111704111099,15.243555068969727,1.2160166271496564
digit_5,maeher,0.018845537677407265,0.05210709571838379,1395.8095703125,0.1363060623407364,14.960000038146973,0.0
a_lc,glaube-1,0.0724836066365242,0.054324835538864136,1311.880126953125,0.16214460134506226,5.221144676208496,0.40559696312993765
a_lc,glaube-R,0.02806803025305271,0.023124294355511665,1765.38720703125,0.12287186086177826,15.98075008392334,1.2160423989407718
a_lc,maeher,0.018766559660434723,0.04722916707396507,1394.217041015625,0.15033398568630219,15.84000015258789,0.0
rand_gmm_10,glaube-1,0.06951911747455597,0.0417441800236702,1273.6231689453125,0.0387163981795311,5.503298282623291,0.4052482119295746
rand_gmm_10,glaube-R,0.03172067925333977,0.01216602511703968,1807.58203125,0.02087808959186077,15.948297500610352,1.2238151291385293
rand_gmm_10,maeher,0.019945193082094193,0.015911206603050232,1329.4619140625,0.03527642786502838,15.84000015258789,0.0
rand_gmm_20,glaube-1,0.07157491892576218,0.07386507093906403,1309.763916015625,0.03607065975666046,4.835219383239746,0.40693087107501924
rand_gmm_20,glaube-R,0.028596749529242516,0.012417051009833813,1760.1763916015625,0.0324169397354126,16.62826919555664,1.2187558545265347
rand_gmm_20,maeher,0.019514476880431175,0.03969099000096321,1202.221435546875,0.04623199626803398,16.719999313354492,0.0
rand_ana_poly_10,glaube-1,0.0764504224061966,0.12332236021757126,1143.078125,0.2292143553495407,4.468469619750977,0.40646317903883755
rand_ana_poly_10,glaube-R,0.02270507626235485,0.051935791969299316,1663.314453125,0.23813995718955994,14.130643844604492,1.2158226100727916
rand_ana_poly_10,maeher,0.019397655501961708,0.16194230318069458,1225.36181640625,0.22521285712718964,14.079999923706055,0.0
rand_ana_poly_20,glaube-1,0.060656726360321045,0.09243446588516235,1218.943359375,0.20517998933792114,5.192631244659424,0.4039287359919399
rand_ana_poly_20,glaube-R,0.023504924029111862,0.03774501383304596,1720.649658203125,0.1413935273885727,14.972354888916016,1.2180266208015382
rand_ana_poly_20,maeher,0.018827077001333237,0.06418337672948837,1297.327880859375,0.22626110911369324,14.960000038146973,0.0
rand_ana_poly_30,glaube-1,0.0796559751033783,0.0891944169998169,1169.3883056640625,0.24390940368175507,5.026378631591797,0.4046894209459424
rand_ana_poly_30,glaube-R,0.023774392902851105,0.021471891552209854,1678.18310546875,0.17546425759792328,15.475618362426758,1.2259959848597646
rand_ana_poly_30,maeher,0.01879371516406536,0.07481499016284943,1292.4739990234375,0.21077805757522583,15.84000015258789,0.0
rand_gmm_complex_0,glaube-1,0.10476163029670715,0.07740115374326706,1175.7576904296875,0.08924117684364319,3.869189739227295,0.40496478183194995
rand_gmm_complex_0,glaube-R,0.037206195294857025,0.015189590863883495,1663.1824951171875,0.05827103555202484,13.952217102050781,1.2155880208592862
rand_gmm_complex_0,maeher,0.020763488486409187,0.01877754181623459,1252.8258056640625,0.07665040343999863,14.079999923706055,0.0
rand_gmm_complex_10,glaube-1,0.06757669895887375,0.05196334421634674,1331.8818359375,0.038417693227529526,4.758428573608398,0.4053755239583552
rand_gmm_complex_10,glaube-R,0.03303161635994911,0.015331488102674484,1786.907470703125,0.031185222789645195,14.949958801269531,1.2175653129816055
rand_gmm_complex_10,maeher,0.020415985956788063,0.061208661645650864,1350.90087890625,0.035428598523139954,14.960000038146973,0.0
