model,shape,E_ergodic,E_smooth,E_boundary,E_total,coverage,path_len
CFM (C75, ep432),A,4.817794322967529,0.29539042711257935,0.0,5.113184928894043,0.045219168066978455,2.397392749786377
CFM (C75, ep432),greek_upper_0,4.81188440322876,0.2906692624092102,0.0,5.102553367614746,0.0447787269949913,2.4170796871185303
CFM (C75, ep432),korean_5,3.0285463333129883,0.5691840648651123,0.0,3.5977301597595215,0.05371660739183426,3.225584030151367
CFM (C75, ep432),digit_5,4.257654190063477,0.26040196418762207,0.0,4.5180559158325195,0.048973213881254196,2.565932273864746
CFM (C75, ep432),a_lc,2.260701894760132,0.34148889780044556,0.0,2.6021907329559326,0.04080118238925934,2.488943576812744
CFM (C75, ep432),rand_gmm_10,7.311694622039795,0.3834860920906067,0.0,7.695180416107178,0.08020547032356262,2.802504539489746
CFM (C75, ep432),rand_gmm_20,4.555716514587402,0.37480929493904114,0.0,4.930525302886963,0.07403051853179932,2.756087303161621
CFM (C75, ep432),rand_ana_poly_10,10.415288925170898,0.6999598741531372,0.0,11.115249633789062,0.05132896080613136,2.7512333393096924
CFM (C75, ep432),rand_ana_poly_20,4.655060768127441,0.717331051826477,0.0008540569106116891,5.373246192932129,0.0457647480070591,2.717589855194092
CFM (C75, ep432),rand_ana_poly_30,9.616390228271484,0.26977792382240295,0.0,9.886167526245117,0.042716410011053085,2.280876636505127
CFM (C75, ep432),rand_gmm_complex_0,6.382298469543457,0.4804413318634033,0.005506880581378937,6.868247032165527,0.08144333958625793,2.8203163146972656
CFM (C75, ep432),rand_gmm_complex_10,6.31874942779541,0.8121126890182495,0.0,7.130862236022949,0.07672849297523499,3.2058775424957275
CFM (C75, ep432),rand_gmm_complex_20,5.947396278381348,0.33516421914100647,0.0,6.282560348510742,0.08357664942741394,3.3107094764709473
CFM (C75, ep432),rand_gmm_complex_30,7.8680853843688965,0.40162593126296997,0.0,8.269710540771484,0.07623264193534851,3.3900880813598633
CFM (C75, ep432),rand_ana_poly_complex_0,1.6530332565307617,0.3431023061275482,0.0,1.9961355924606323,0.04609394818544388,2.179030179977417
CFM (C75, ep432),rand_ana_poly_complex_10,2.1293118000030518,0.720432698726654,0.0,2.8497443199157715,0.05510636419057846,2.195430278778076
CFM (C75, ep432),rand_ana_poly_complex_20,3.6500940322875977,0.162410706281662,0.0,3.812504768371582,0.03853633254766464,2.4394474029541016
CFM (C75, ep432),rand_ana_poly_complex_30,1.4787750244140625,0.5053921341896057,0.0,1.9841670989990234,0.0420110747218132,2.6192777156829834
CFM (C75, ep432),organic_0,2.823056697845459,0.31645405292510986,0.00013097311602905393,3.139641523361206,0.043900080025196075,3.2678513526916504
CFM (C75, ep432),organic_10,3.23624324798584,0.8124192953109741,0.008172166533768177,4.056834697723389,0.04558639973402023,2.8428351879119873
CFM (C75, ep432),organic_20,4.1597394943237305,0.5350788831710815,0.00029740174068138003,4.69511604309082,0.0536220446228981,2.1196327209472656
CFM (C75, ep432),organic_30,3.3999996185302734,0.218610942363739,0.0,3.618610382080078,0.032660774886608124,1.4643471240997314
CFM (C75, ep432),cjk_0,3.4672255516052246,0.752273440361023,0.0,4.219498634338379,0.05607478693127632,3.9101812839508057
CFM (C75, ep432),cjk_10,1.711621880531311,0.7396478652954102,0.0,2.4512696266174316,0.04721160978078842,3.3791604042053223
CFM (C75, ep432),cjk_20,6.32375431060791,1.2603342533111572,0.002424993086606264,7.586513042449951,0.06401732563972473,3.257723331451416
CFM + Ergodic Loss,A,4.184855937957764,0.31770095229148865,0.0,4.502556800842285,0.04413757845759392,2.4316811561584473
CFM + Ergodic Loss,greek_upper_0,3.7442498207092285,0.2918688952922821,0.0,4.036118507385254,0.043986961245536804,2.411611318588257
CFM + Ergodic Loss,korean_5,2.5491881370544434,0.6047972440719604,0.0,3.1539852619171143,0.05304780602455139,3.276224374771118
CFM + Ergodic Loss,digit_5,2.6216039657592773,0.32615718245506287,0.0,2.947761058807373,0.0476873554289341,2.6552023887634277
CFM + Ergodic Loss,a_lc,2.825404644012451,0.5837626457214355,0.0,3.409167528152466,0.039196863770484924,2.6451778411865234
CFM + Ergodic Loss,rand_gmm_10,4.544492244720459,0.3200857937335968,0.004598025698214769,4.869175910949707,0.07966659963130951,2.7848050594329834
CFM + Ergodic Loss,rand_gmm_20,5.528387069702148,0.3801708519458771,0.0,5.908557891845703,0.07529361546039581,2.641948699951172
CFM + Ergodic Loss,rand_ana_poly_10,5.761871337890625,0.9826114177703857,0.002451981883496046,6.746934413909912,0.03956565260887146,2.9860317707061768
CFM + Ergodic Loss,rand_ana_poly_20,3.2132773399353027,0.7775566577911377,0.002036704681813717,3.992870807647705,0.04325304925441742,2.714256763458252
CFM + Ergodic Loss,rand_ana_poly_30,6.864395618438721,0.27141374349594116,0.0,7.135809898376465,0.042483992874622345,2.3224990367889404
CFM + Ergodic Loss,rand_gmm_complex_0,7.540247917175293,0.6153971552848816,0.009181750938296318,8.164827346801758,0.08080336451530457,3.240124464035034
CFM + Ergodic Loss,rand_gmm_complex_10,9.467912673950195,0.8326999545097351,0.009478270076215267,10.310091018676758,0.07818575203418732,3.018462657928467
CFM + Ergodic Loss,rand_gmm_complex_20,5.427577018737793,0.2750670909881592,0.0,5.702643394470215,0.08386923372745514,3.2319395542144775
CFM + Ergodic Loss,rand_gmm_complex_30,5.744594573974609,0.4216881990432739,0.0,6.166282653808594,0.07276835292577744,3.5252983570098877
CFM + Ergodic Loss,rand_ana_poly_complex_0,1.2082467079162598,0.360943078994751,0.0,1.5691896677017212,0.050971370190382004,2.1029181480407715
CFM + Ergodic Loss,rand_ana_poly_complex_10,2.0091536045074463,0.6366645097732544,0.0,2.6458182334899902,0.05587935075163841,2.1923041343688965
CFM + Ergodic Loss,rand_ana_poly_complex_20,3.5656771659851074,0.38318580389022827,0.0,3.9488630294799805,0.03941775858402252,3.0973501205444336
CFM + Ergodic Loss,rand_ana_poly_complex_30,1.5081775188446045,0.5465288162231445,0.0,2.054706335067749,0.04197484254837036,2.627584934234619
CFM + Ergodic Loss,organic_0,2.7016496658325195,0.29930758476257324,0.0,3.0009570121765137,0.043021310120821,3.264492988586426
CFM + Ergodic Loss,organic_10,2.8480496406555176,0.5979560017585754,0.0,3.4460058212280273,0.0368075892329216,2.8097681999206543
CFM + Ergodic Loss,organic_20,2.0757534503936768,0.5842593312263489,0.0138075090944767,2.6738204956054688,0.0467480905354023,2.3734045028686523
CFM + Ergodic Loss,organic_30,2.6354429721832275,0.31723618507385254,0.0,2.95267915725708,0.030718045309185982,1.8296408653259277
CFM + Ergodic Loss,cjk_0,3.480095863342285,0.771690309047699,0.0,4.251786231994629,0.05743548646569252,3.89691162109375
CFM + Ergodic Loss,cjk_10,1.893878698348999,0.6895937323570251,0.0,2.583472490310669,0.04744582623243332,3.3641772270202637
CFM + Ergodic Loss,cjk_20,5.052000999450684,0.9182150363922119,3.905519042746164e-05,5.970254898071289,0.06118616461753845,3.4185309410095215
Selbstueberwacht,A,0.19822153449058533,0.0716128721833229,0.0,0.26983439922332764,0.0335664302110672,2.76304292678833
Selbstueberwacht,greek_upper_0,0.19887350499629974,0.07071587443351746,0.0,0.269589364528656,0.033975400030612946,2.7587738037109375
Selbstueberwacht,korean_5,0.4371834397315979,0.06822167336940765,0.0,0.505405068397522,0.04160422086715698,3.437779426574707
Selbstueberwacht,digit_5,0.2678411602973938,0.053947366774082184,0.0,0.321788489818573,0.03441307693719864,2.5694916248321533
Selbstueberwacht,a_lc,0.4770866334438324,0.05371035635471344,0.0,0.530797004699707,0.03522998094558716,2.453427791595459
Selbstueberwacht,rand_gmm_10,0.3393605053424835,0.10595566034317017,0.0,0.4453161656856537,0.05080296844244003,4.471492290496826
Selbstueberwacht,rand_gmm_20,0.625435471534729,0.1024622917175293,0.0,0.7278977632522583,0.049917493015527725,4.042240619659424
Selbstueberwacht,rand_ana_poly_10,1.819598913192749,0.05221524089574814,0.0,1.8718140125274658,0.03637644648551941,2.3189282417297363
Selbstueberwacht,rand_ana_poly_20,0.7685779929161072,0.07250866293907166,0.0,0.8410866856575012,0.03502080589532852,2.415619134902954
Selbstueberwacht,rand_ana_poly_30,1.3605284690856934,0.08474786579608917,0.0,1.4452763795852661,0.03747057914733887,2.9125208854675293
Selbstueberwacht,rand_gmm_complex_0,0.9851589798927307,0.09628414362668991,0.0005965817836113274,1.082039713859558,0.05668108910322189,4.093061447143555
Selbstueberwacht,rand_gmm_complex_10,0.4801718592643738,0.08163351565599442,0.003140105167403817,0.5649454593658447,0.053888797760009766,3.9543278217315674
Selbstueberwacht,rand_gmm_complex_20,0.36999231576919556,0.11278823763132095,0.0013405157951638103,0.48412105441093445,0.052685417234897614,4.627170562744141
Selbstueberwacht,rand_gmm_complex_30,0.4210852384567261,0.09473457932472229,0.0015479299472644925,0.5173677802085876,0.05589495599269867,4.444366455078125
Selbstueberwacht,rand_ana_poly_complex_0,0.3350664973258972,0.054859258234500885,0.0,0.3899257481098175,0.035447269678115845,2.76491641998291
Selbstueberwacht,rand_ana_poly_complex_10,0.23679211735725403,0.06653355807065964,9.148463504971005e-06,0.3033348321914673,0.03812042623758316,3.413309335708618
Selbstueberwacht,rand_ana_poly_complex_20,1.2100069522857666,0.07022751867771149,0.0,1.2802345752716064,0.0381239652633667,2.553013563156128
Selbstueberwacht,rand_ana_poly_complex_30,0.4152761697769165,0.06619475781917572,0.0,0.4814709424972534,0.04191635921597481,2.7253293991088867
Selbstueberwacht,organic_0,0.3432278037071228,0.12473388016223907,0.0,0.46796169877052307,0.046471573412418365,3.929239511489868
Selbstueberwacht,organic_10,0.5108569860458374,0.08889835327863693,0.0,0.5997552871704102,0.03776245564222336,3.4715585708618164
Selbstueberwacht,organic_20,0.26061761379241943,0.06138140708208084,0.0,0.32199907302856445,0.03605102002620697,2.762388229370117
Selbstueberwacht,organic_30,0.26838937401771545,0.03949425369501114,0.0,0.307883620262146,0.02475259266793728,1.9129852056503296
