phi_model,param,svgd_iters,seed,n_exec,J,q,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,time_s
niveau,0.4893,50,1,6,0.2637162346562607,0.13632279054053628,0.03760237328708172,0.13632279054053628,0.054481772147119044,0.14103839762508869,3491.719599609375,8.427396087646484,1.8483610289311037
niveau,0.6653,50,1,6,0.26384962886620617,0.13645500024617024,0.037640440165996554,0.13645500024617024,0.060588574074208736,0.14338418304920197,3420.300771484375,8.4329386138916,1.848657155008987
niveau,0.372,50,0,6,0.26407194586982685,0.1366940366946507,0.03769788645207882,0.1366940366946507,0.05657994182780385,0.16598433122038841,3356.570390625,8.43454216003418,1.8444772937940435
niveau,0.8413,50,0,6,0.2651713096386843,0.1378269332525224,0.03789438471198082,0.1378269332525224,0.06471232337877154,0.137914474606514,3531.092109375,8.426468353271485,1.8360940965404735
niveau,0.724,25,1,6,0.2657994806884321,0.13870412435472934,0.03815785117447376,0.13870412435472934,0.05370221201330423,0.13833720110356806,3495.693486328125,8.431575241088867,1.7738390834257007
niveau,0.6067,50,1,7,0.26601384073853973,0.11737320788157339,0.0323661282658577,0.11737320788157339,0.04489612851291895,0.12159889109432698,3590.793251953125,9.832096405029297,2.160158214241577
niveau,0.6653,50,0,6,0.2661153132877031,0.13877696038075707,0.038282760232686994,0.13877696038075707,0.05402258936315775,0.136284044906497,3476.49828125,8.428749198913573,1.8345882267365232
niveau,0.6653,25,0,6,0.2665850545596916,0.13969615745567043,0.03876651085913181,0.13969615745567043,0.05979424402117729,0.1408807599544525,3478.818857421875,8.436436309814454,1.7222242760052904
niveau,0.4893,25,0,7,0.2668190262416467,0.1188656684154579,0.0326386671513319,0.1188656684154579,0.04265847571194172,0.12768783412873744,3517.406572265625,9.846165390014649,1.9883394565472066
niveau,0.6653,100,0,5,0.26691979160678636,0.15948595464993642,0.044351199120283125,0.15948595464993642,0.05212083943188191,0.17944307684898375,3180.76345703125,7.027950954437256,1.858459239212486
niveau,0.9,25,0,6,0.2671542674001338,0.1401775099669429,0.038613309562206266,0.1401775099669429,0.05073792695999146,0.12646310202777386,3526.662158203125,8.433509941101073,1.7441893582977357
niveau,0.6067,25,1,6,0.26729795624493763,0.14021168526970923,0.038518733754754064,0.14021168526970923,0.053953195735812184,0.13894470937550069,3487.43541015625,8.435879859924317,1.7715677438070998
