phi_model,param,svgd_iters,seed,shape,n_exec,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,n_obs,plan_s,svgd_s
eid,0.15,0,0,rand_ana_poly_complex_20,2,0.16990555822849274,0.7459585569311293,0.3426527976989746,0.2861824333667755,1568.80517578125,2.8173975944519043,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_30,2,0.14330479502677917,0.6413295931751004,0.2227817326784134,0.4151368737220764,1373.02294921875,2.799462080001831,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_0,2,0.18271639943122864,0.573017110289259,0.20716536045074463,0.4113313555717468,1393.357177734375,2.8150634765625,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_10,2,0.1494518369436264,0.533320092779591,0.09745937585830688,0.3271946310997009,1434.491455078125,2.791306972503662,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_20,2,0.14993205666542053,0.5941438352241223,0.2731218934059143,0.29028943181037903,1160.92041015625,2.8212316036224365,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_30,2,0.05525531619787216,0.3271510602284953,0.08240049332380295,0.27457195520401,1373.78466796875,2.806323528289795,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,cjk_0,2,0.10642483085393906,0.34691079101718086,0.08961138129234314,0.21442382037639618,1594.70263671875,2.8108925819396973,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,cjk_10,2,0.1757977157831192,0.5577973670924666,0.2641814053058624,0.23855647444725037,1238.248779296875,2.8061563968658447,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,cjk_20,2,0.12409915030002594,0.417164344404315,0.10854212194681168,0.22239919006824493,1485.80078125,2.8171920776367188,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,A,3,0.08430005609989166,0.33811857624544817,0.14270536601543427,0.23878102004528046,1874.2138671875,4.2273149490356445,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,greek_upper_0,3,0.061813998967409134,0.24792938806745157,0.03774736821651459,0.168623149394989,1980.2802734375,4.227015972137451,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,korean_5,3,0.1675618290901184,0.5482763126587068,0.15084300935268402,0.2567695379257202,1893.216796875,4.212777137756348,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,digit_5,3,0.08587457984685898,0.3147567130983179,0.03196107596158981,0.22614532709121704,1851.04345703125,4.2133026123046875,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,a_lc,3,0.07187864184379578,0.334710772188017,0.09487244486808777,0.22050806879997253,2161.433837890625,4.226067543029785,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_10,3,0.11557649821043015,0.3437003833512727,0.09379446506500244,0.17870353162288666,2152.734619140625,4.23139762878418,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_20,3,0.2410440295934677,0.7898371097381137,0.4594694972038269,0.27893224358558655,1275.15478515625,4.2303009033203125,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_10,3,0.039429981261491776,0.12451955220981278,0.05199301242828369,0.3088781237602234,1799.2646484375,4.204023361206055,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_20,3,0.04653354361653328,0.19582500023985763,0.03379853069782257,0.3885752260684967,1820.12890625,4.203022480010986,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_30,3,0.14488933980464935,0.5201349465783414,0.2400122880935669,0.31575486063957214,1969.70849609375,4.2111053466796875,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_0,3,0.11373316496610641,0.36697191311493793,0.17774567008018494,0.13352897763252258,1852.0595703125,4.216338634490967,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_10,3,0.09273767471313477,0.2708557141646007,0.18001416325569153,0.09082109481096268,2574.8642578125,4.234164714813232,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_20,3,0.12811057269573212,0.3758455191376465,0.0864894688129425,0.15599659085273743,1940.33837890625,4.224949836730957,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_30,3,0.12735068798065186,0.3861590799950912,0.20869049429893494,0.17193983495235443,1551.1650390625,4.217007637023926,192,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_0,3,0.058971259742975235,0.2568193171756596,0.12682656943798065,0.5140201449394226,1923.2548828125,4.231296539306641,192,3.31896382833831,0.0006930097751319408
