phi_model,param,svgd_iters,seed,n_exec,q,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,time_s,J
niveau,0.6653,0,1,3,0.3161390248763313,0.08774811372160912,0.3161390248763313,0.10883625105023384,0.23215036660432817,2448.476533203125,4.228943195343017,0.8370932624908164,0.3761390248763313
niveau,0.6653,0,1,4,0.22441189269130096,0.062254688218235966,0.22441189269130096,0.07574414417147636,0.19910566464066506,2923.06587890625,5.636806526184082,1.1161243499877551,0.304411892691301
niveau,0.6653,0,1,5,0.16984975990620743,0.04728481024503708,0.16984975990620743,0.06272501520812511,0.1864308524131775,3268.0221484375,7.043185596466064,1.395155437484694,0.2698497599062074
niveau,0.6653,0,1,6,0.14174071026996246,0.039358906149864196,0.14174071026996246,0.06233053430914879,0.1521475148200989,3520.186025390625,8.448098220825194,1.6741865249816328,0.2617407102699625
niveau,0.6653,0,1,7,0.12307205085228226,0.0342431353032589,0.12307205085228226,0.04950564566999674,0.11798118479549885,3645.336875,9.854898986816407,1.9532176124785716,0.26307205085228225
niveau,0.6653,0,1,8,0.10922765001318621,0.03040101543068886,0.10922765001318621,0.05564696379005909,0.10168653406202793,3741.1294921875,11.252848014831542,2.2322486999755102,0.2692276500131862
niveau,0.6653,0,1,9,0.09809017132773286,0.027217471078038215,0.09809017132773286,0.04516351755708456,0.08747206397354602,3808.2616796875,12.654663276672363,2.511279787472449,0.27809017132773284
niveau,0.6653,0,1,10,0.09007132257915933,0.02494613729417324,0.09007132257915933,0.05799524806439876,0.08012412674725056,3852.92408203125,14.05336051940918,2.790310874969388,0.29007132257915935
niveau,0.6653,0,1,11,0.08344959751229902,0.023113476559519768,0.08344959751229902,0.0420915287733078,0.07363234952092171,3882.306494140625,15.44740406036377,3.0693419624663267,0.30344959751229905
niveau,0.6653,0,1,12,0.07643489311131708,0.021193560399115085,0.07643489311131708,0.03679750252515077,0.07065440863370895,3898.7115625,16.84870834350586,3.3483730499632656,0.31643489311131706
