regler,seed,shape,n_exec,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,n_obs,plan_s,svgd_s,gewaehlt_modell,gewaehlt_param,gewaehlt_svgd
fest,0,A,1,0.13307422399520874,0.5337466499111923,0.15257608890533447,0.2438783049583435,1191.04931640625,1.4113013744354248,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,greek_upper_0,1,0.13041658699512482,0.5230871487479475,0.10610219091176987,0.2248290330171585,1238.964111328125,1.4123027324676514,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,korean_5,1,0.19737498462200165,0.6458274498866867,0.22739051282405853,0.26548513770103455,1211.28369140625,1.4121508598327637,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,digit_5,1,0.1440838724374771,0.5281116504997541,0.06023916229605675,0.21281898021697998,1089.45703125,1.4058713912963867,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,a_lc,1,0.13262997567653656,0.6176060152951155,0.07834716886281967,0.24049577116966248,1020.486328125,1.4059308767318726,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_gmm_10,1,0.16984422504901886,0.5050812765849965,0.10205768048763275,0.21329602599143982,1239.266845703125,1.4114046096801758,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_gmm_20,1,0.27204251289367676,0.891410886518212,0.4492783844470978,0.28214117884635925,1032.2314453125,1.4109060764312744,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_10,1,0.07860985398292542,0.24824924037045734,0.07582129538059235,0.36160653829574585,1150.1201171875,1.4104628562927246,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_20,1,0.1114572212100029,0.46904042570629617,0.10466393083333969,0.3159468173980713,1103.134765625,1.409674882888794,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_30,1,0.2031620889902115,0.7293269639170306,0.20740479230880737,0.3528038263320923,1168.133544921875,1.409399390220642,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_gmm_complex_0,1,0.1716698557138443,0.5539106855440875,0.11434456706047058,0.1802922785282135,1142.0927734375,1.4120032787322998,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_gmm_complex_10,1,0.27623236179351807,0.8067822905889703,0.36668306589126587,0.23262779414653778,1270.51123046875,1.4123566150665283,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_gmm_complex_20,1,0.20971177518367767,0.6152437644657609,0.19025593996047974,0.21361589431762695,1195.251220703125,1.4122281074523926,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_gmm_complex_30,1,0.1726810485124588,0.523612050186095,0.05635816231369972,0.2146979570388794,962.568115234375,1.4020614624023438,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_complex_0,1,0.10797800123691559,0.470243214558155,0.0923338383436203,0.48350727558135986,1107.22265625,1.4118989706039429,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_complex_10,1,0.17627689242362976,0.6191843944124168,0.1400325894355774,0.495574951171875,1166.10693359375,1.4093232154846191,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_complex_20,1,0.20603324472904205,0.9045746561817929,0.37079864740371704,0.2919096052646637,1248.486328125,1.4118602275848389,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_complex_30,1,0.13332180678844452,0.5966528900378009,0.14717689156532288,0.3243567943572998,1127.70068359375,1.404360294342041,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,organic_0,1,0.18108880519866943,0.5679128101456061,0.12205148488283157,0.44911813735961914,1192.67529296875,1.410075068473816,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,organic_10,1,0.16978301107883453,0.6058721170818157,0.05355094000697136,0.4260457158088684,1006.971435546875,1.3980026245117188,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,organic_20,1,0.13931797444820404,0.5520828400228498,0.19659647345542908,0.2662087678909302,1035.4609375,1.4130433797836304,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,organic_30,1,0.06838804483413696,0.404906222856858,0.16519102454185486,0.17003849148750305,1142.3486328125,1.4003015756607056,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,cjk_0,1,0.12496163696050644,0.4073348294465864,0.04553300142288208,0.23428435623645782,1231.919677734375,1.4101349115371704,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,cjk_10,1,0.227073073387146,0.7204915144017302,0.2940898537635803,0.2238493412733078,1033.373046875,1.4087438583374023,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,cjk_20,1,0.14545099437236786,0.4889394372452191,0.17025648057460785,0.2322152853012085,1268.322265625,1.4120817184448242,64,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,A,2,0.11432614177465439,0.4585500733161579,0.08522936701774597,0.23326201736927032,2244.54541015625,2.821176052093506,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,greek_upper_0,2,0.07412975281476974,0.29732660492577956,0.11870287358760834,0.22080284357070923,2031.094482421875,2.818544864654541,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,korean_5,2,0.0912185087800026,0.29847458643595753,0.06378000974655151,0.24932964146137238,1941.859375,2.824575185775757,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,digit_5,2,0.07822377979755402,0.2867141808334015,0.030742008239030838,0.2624320983886719,1861.949951171875,2.818244457244873,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,a_lc,2,0.07491191476583481,0.34883553993472866,0.07376909255981445,0.22032047808170319,1893.48095703125,2.8064911365509033,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_gmm_10,2,0.11394467204809189,0.3388476729279378,0.08339953422546387,0.1484420746564865,1987.51171875,2.819028854370117,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_gmm_20,2,0.11469455808401108,0.3758235307157365,0.2251652628183365,0.1508304476737976,1995.666259765625,2.8229382038116455,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_10,2,0.056874144822359085,0.17960805844947575,0.12275941669940948,0.3187144100666046,1608.044921875,2.8130853176116943,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_20,2,0.0843810960650444,0.35509718249067834,0.1227560043334961,0.2324223518371582,1849.4130859375,2.819129467010498,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_30,2,0.06221313774585724,0.22333752863765943,0.04196445643901825,0.405839204788208,2111.813720703125,2.819845199584961,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_gmm_complex_0,2,0.1464410126209259,0.4725071932712407,0.20893725752830505,0.15206784009933472,1866.6787109375,2.82002329826355,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_gmm_complex_10,2,0.2532584071159363,0.7396830569643402,0.42235255241394043,0.23103457689285278,1852.53369140625,2.813833713531494,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_gmm_complex_20,2,0.18043126165866852,0.5293418004447183,0.19872091710567474,0.20509789884090424,1536.31591796875,2.821213722229004,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_gmm_complex_30,2,0.13020671904087067,0.3948192791988761,0.09748898446559906,0.18160367012023926,1689.4169921875,2.8146090507507324,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_complex_0,2,0.06255500018596649,0.2724264575854927,0.036074962466955185,0.5822086334228516,1821.3310546875,2.824882984161377,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_complex_10,2,0.07675892114639282,0.2696208530359174,0.0558631457388401,0.35373103618621826,2042.439453125,2.819736957550049,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_complex_20,2,0.1034921333193779,0.454375025923671,0.2768508195877075,0.28719544410705566,1866.9599609375,2.822047233581543,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_complex_30,2,0.09473143517971039,0.423950034423789,0.13968665897846222,0.35425445437431335,1804.90869140625,2.815532922744751,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,organic_0,2,0.17088788747787476,0.5359217003554402,0.2008313536643982,0.41193005442619324,1565.107177734375,2.816831111907959,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,organic_10,2,0.11482038348913193,0.40973751370450634,0.0728209912776947,0.4239014685153961,1908.7294921875,2.7997350692749023,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,organic_20,2,0.10099676996469498,0.40022533930805404,0.058917269110679626,0.20117440819740295,1784.55517578125,2.821138858795166,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,organic_30,2,0.042672447860240936,0.25265146452208,0.08471015095710754,0.18327318131923676,1879.507568359375,2.8086767196655273,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,cjk_0,2,0.09134434908628464,0.29775326060853813,0.08341746032238007,0.21388939023017883,1903.22412109375,2.8145203590393066,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,cjk_10,2,0.13225746154785156,0.419646316228238,0.13773712515830994,0.2595764696598053,2065.61572265625,2.821028709411621,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,cjk_20,2,0.11749632656574249,0.394968683695355,0.0770353302359581,0.2368101179599762,1705.800537109375,2.8181636333465576,128,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,A,3,0.08526400476694107,0.34198491290097816,0.07895565032958984,0.22790420055389404,2756.892333984375,4.22690486907959,192,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,greek_upper_0,3,0.04922395572066307,0.19743208468551152,0.20202557742595673,0.17483656108379364,2376.5654296875,4.226138114929199,192,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,korean_5,3,0.06531371176242828,0.2137119249987323,0.04292837530374527,0.21602317690849304,2718.3701171875,4.236019611358643,192,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,digit_5,3,0.045905690640211105,0.16825845697514136,0.012758037075400352,0.25265923142433167,2227.64013671875,4.2268242835998535,192,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,a_lc,3,0.051819927990436554,0.24130517310134128,0.05830061435699463,0.1906856745481491,2504.13037109375,4.2143635749816895,192,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_gmm_10,3,0.06495799869298935,0.19317153052918073,0.016337905079126358,0.054775625467300415,2898.52587890625,4.223732948303223,192,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_gmm_20,3,0.06749007850885391,0.22114701880538157,0.05994608253240585,0.06141090765595436,2784.165283203125,4.2299933433532715,192,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_10,3,0.051722560077905655,0.16333939829152175,0.11490815877914429,0.3152908682823181,2450.820556640625,4.219680309295654,192,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_20,3,0.061897266656160355,0.26047949147915805,0.04924190789461136,0.17414367198944092,2163.51220703125,4.223194122314453,192,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_ana_poly_30,3,0.05799034237861633,0.20817821156359106,0.07523326575756073,0.3740873634815216,2655.20068359375,4.218585014343262,192,1.7756844547390938,5.860061540678143,niveau,0.6067,25
fest,0,rand_gmm_complex_0,3,0.08973659574985504,0.2895444809661264,0.08553066849708557,0.10831178724765778,2690.17919921875,4.219498634338379,192,1.7756844547390938,5.860061540678143,niveau,0.6067,25
