phi_model,param,svgd_iters,seed,n_exec,q,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,time_s,J
niveau,0.4307,25,0,3,0.3031048794347904,0.08511347204446792,0.3031048794347904,0.10007814440876245,0.21983091175556183,2377.382939453125,4.2238614463806154,0.8494771530898287,0.36650278804714975
niveau,0.4307,25,0,4,0.21402346196492186,0.05841315567493439,0.21402346196492186,0.07603947691619396,0.19091172367334366,2910.807705078125,5.632163200378418,1.1326362041197715,0.2985540067814009
niveau,0.4307,25,0,5,0.16411982860484936,0.045030578300356866,0.16411982860484936,0.0550696237385273,0.15414919897913934,3233.01779296875,7.036219635009766,1.4157952551497146,0.26978300962544827
niveau,0.4307,25,0,6,0.13533530764005502,0.037164787128567696,0.13533530764005502,0.049763443283736705,0.13750853814184666,3440.106650390625,8.440649223327636,1.6989543061796575,0.26213112486477363
niveau,0.4307,25,0,7,0.1129526795018187,0.03108527310192585,0.1129526795018187,0.03150408649817109,0.1252192524075508,3563.68994140625,9.846767234802247,1.9821133572096006,0.2608811329306571
niveau,0.4307,25,0,8,0.10200143374938175,0.028141240179538726,0.10200143374938175,0.04459217067807913,0.11845136560499668,3617.741826171875,11.251576766967773,2.265272408239543,0.27106252338233994
niveau,0.4307,25,0,9,0.09246726125446013,0.025545697659254074,0.09246726125446013,0.06664548130705952,0.10597922444343567,3662.559912109375,12.6548921585083,2.5484314592694863,0.2826609870915381
niveau,0.4307,25,0,10,0.0835369897656877,0.023111110366880894,0.0835369897656877,0.03573105672374368,0.09409386605024338,3702.342431640625,14.056476364135742,2.831590510299429,0.2948633518068854
niveau,0.4307,25,0,11,0.07804450177814318,0.021625954695045947,0.07804450177814318,0.03929473144933581,0.09049588985741139,3734.0211328125,15.457143020629882,3.114749561329372,0.31050350002346067
niveau,0.4307,25,0,12,0.07268876403411757,0.020126225762069225,0.07268876403411757,0.05706242055632174,0.08499359890818596,3754.8775390625,16.86062126159668,3.397908612359315,0.32628039848355483
niveau,0.4893,100,1,1,0.6166364003980493,0.17044766187667848,0.6166364003980493,0.18929946780204773,0.28328919172286987,1158.184091796875,1.408620982170105,0.3731895433863004,0.6381291585715946
niveau,0.4893,100,1,2,0.4440986269119895,0.1253517572581768,0.4440986269119895,0.16883391950279475,0.2638208016753197,1817.394814453125,2.813585805892944,0.7463790867726008,0.48708414325907984
niveau,0.4893,100,1,3,0.2785853964359997,0.07946374610066415,0.2785853964359997,0.10313102923333645,0.23555551066994668,2369.380615234375,4.218266353607178,1.1195686301589012,0.3430636709566353
niveau,0.4893,100,1,4,0.20501805004412754,0.05735019318759441,0.20501805004412754,0.07357778642326593,0.20868075594305993,2864.246337890625,5.619810276031494,1.4927581735452016,0.29098908273830837
niveau,0.4893,100,1,5,0.16588602098241353,0.04628852538764477,0.16588602098241353,0.06572871029376984,0.1744458807259798,3172.962451171875,7.02269100189209,1.865947716931502,0.27334981185013957
niveau,0.4893,100,1,6,0.13327245369595192,0.037000307887792586,0.13327245369595192,0.047548851445317265,0.1460357216000557,3426.270478515625,8.422866744995117,2.2391372603178024,0.2622290027372231
niveau,0.4893,100,1,7,0.11094109040582088,0.030836890861392022,0.11094109040582088,0.04797566909343004,0.12555987812578678,3566.10638671875,9.822946243286133,2.6123268037041028,0.2613903976206373
niveau,0.4893,100,1,8,0.0967236721988024,0.02698654018342495,0.0967236721988024,0.04639139629900455,0.10737042851746083,3650.24279296875,11.222519607543946,2.985516347090403,0.26866573758716406
niveau,0.4893,100,1,9,0.08660070353602796,0.02408914566040039,0.08660070353602796,0.032452709265053274,0.09495458275079727,3738.8548046875,12.62229290008545,3.3587058904767035,0.2800355270979348
niveau,0.4893,100,1,10,0.07918867818643183,0.022081343084573747,0.07918867818643183,0.03762915909290314,0.08962595000863076,3771.403828125,14.02154769897461,3.731895433863004,0.29411625992188384
niveau,0.4893,100,1,11,0.07339512943546252,0.02049087595194578,0.07339512943546252,0.0340918125398457,0.0829710277542472,3805.09375,15.424268989562988,4.105084977249304,0.30981546934445975
niveau,0.4893,100,1,12,0.06879155540307191,0.01920284751802683,0.06879155540307191,0.04033872179687023,0.08065349198877811,3824.057763671875,16.822544479370116,4.478274520635605,0.32670465348561434
