phi_model,param,svgd_iters,seed,n_exec,J,q,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,time_s
eid,10.0,0,0,8,0.27931487241773356,0.11931487241773357,0.03315798781812191,0.11931487241773357,0.08063964545726776,0.14975146546959878,3163.846552734375,11.263571510314941,2.248401087000966
ucb,2.4662,0,0,7,0.2793501301453737,0.1393501301453737,0.03798291191458702,0.1393501301453737,0.07254975579679013,0.12256239935755729,3689.31888671875,9.869940605163574,1.9074434274598024
ucb,0.15,0,0,7,0.27942689134048426,0.13942689134048428,0.03923838205635548,0.13942689134048428,0.05246418815106153,0.17838957361876964,3133.8151953125,9.862608222961425,1.5977761248530202
niveau,0.1373,0,0,7,0.27945505687149796,0.13945505687149795,0.03827223092317581,0.13945505687149795,0.06246328935027123,0.1363129096478224,3564.50923828125,9.871088485717774,1.9213273106538689
eid,1.864,0,1,8,0.2795656080235034,0.11956560802350338,0.03380995523184538,0.11956560802350338,0.057656623609364036,0.1610366877168417,3153.427412109375,11.25670051574707,2.2116696037662527
eid,0.4597,0,0,8,0.2797942375616501,0.1197942375616501,0.034052681922912595,0.1197942375616501,0.05894473508000374,0.15564657911658286,3054.255185546875,11.256771049499513,2.2458054779842493
niveau,0.3133,0,1,9,0.2799805914475751,0.09998059144757511,0.027474348619580268,0.09998059144757511,0.05317215446382761,0.10505938187241554,3782.301044921875,12.685940399169922,2.55379944347078
ucb,1.0648,0,1,7,0.28013712013643155,0.1401371201364315,0.03882928229868412,0.1401371201364315,0.06417719673365355,0.1261696398258209,3619.14728515625,9.874215354919434,1.9746855795616285
niveau,0.9,0,1,7,0.2806005638554476,0.14060056385544759,0.038436279222369196,0.14060056385544759,0.06642747964709997,0.116249321103096,3677.491875,9.838241386413575,1.9220561490269998
ucb,0.3474,0,0,6,0.2806718516946096,0.16067185169460962,0.04491610802710056,0.16067185169460962,0.07371635876595974,0.16771517969667912,3244.979599609375,8.459422874450684,1.5610824363864961
eid,4.3174,0,1,8,0.2807044114445256,0.12070441144452561,0.03398376911878586,0.12070441144452561,0.07242578819394112,0.15830633245408535,3204.661083984375,11.262308769226074,2.197987226583063
niveau,0.1373,0,1,7,0.28118211621204015,0.14118211621204016,0.039249847456812856,0.14118211621204016,0.05602100517600775,0.15061466574668883,3565.3552734375,9.867347946166992,1.9852742500696332
niveau,0.372,0,1,7,0.28132465246555827,0.14132465246555825,0.038233710378408434,0.14132465246555825,0.05825510829687119,0.14615116357803346,3550.545234375,9.868762130737304,1.9843695085984656
mass,0.83,0,1,7,0.28140196327978106,0.14140196327978102,0.03912186250090599,0.14140196327978102,0.06918604515492915,0.1180247812718153,3640.207578125,9.868429908752441,1.9842964624202195
ucb,7.558,0,0,7,0.28171787610155463,0.14171787610155465,0.03849248513579369,0.14171787610155465,0.06623431526124478,0.11833309166133404,3736.031142578125,9.870293388366699,1.9165760891628454
ucb,3.2631,0,0,7,0.28200354932312466,0.14200354932312462,0.03856179028749466,0.14200354932312462,0.07822561904788017,0.12151387959718704,3719.265908203125,9.87140037536621,1.9025329346877213
ucb,0.2626,0,1,8,0.2820925219094144,0.1220925219094144,0.033988298550248146,0.1220925219094144,0.05280533745884895,0.13035660192370416,3443.963818359375,11.278282699584961,2.167799354388068
eid,3.2631,0,1,8,0.28223843324954473,0.12223843324954474,0.03450606167316437,0.12223843324954474,0.056930481977760794,0.153957861661911,3121.075869140625,11.263030471801757,2.2045364705224832
mass,0.41,0,0,8,0.28258511495229166,0.12258511495229164,0.03385200932621956,0.12258511495229164,0.06665243696421384,0.15241595931351185,3294.746865234375,11.272065658569336,2.2143928504424784
eid,0.2626,0,0,8,0.2829056087117759,0.1229056087117759,0.03464382831007242,0.1229056087117759,0.06098137937486172,0.16340089738368987,3078.437353515625,11.260071258544922,2.2309800932308037
ucb,2.4662,0,1,6,0.28291963939786363,0.16291963939786364,0.04463473595678806,0.16291963939786364,0.07416891075670719,0.14658330388367177,3560.8367578125,8.458799514770508,1.7179226469760764
mass,0.23,0,0,7,0.2832696603380187,0.14326966033801866,0.040280679762363436,0.14326966033801866,0.07431915268301964,0.17014325246214868,3039.908740234375,9.852517433166504,1.954692396844427
eid,5.7123,0,1,7,0.28349788523843855,0.14349788523843857,0.040185149535536764,0.14349788523843857,0.09001553229987622,0.16692248344421387,3053.849013671875,9.85008659362793,1.9231735774393501
mass,0.89,0,1,7,0.2836112752817599,0.14361127528175988,0.039250684306025505,0.14361127528175988,0.07121824033558369,0.11863083228468894,3710.566533203125,9.869728546142579,1.985747658866458
ucb,3.2631,0,1,7,0.28427630694487904,0.14427630694487906,0.039379306063055994,0.14427630694487906,0.06089891018345952,0.12823102682828902,3686.688056640625,9.868667831420899,2.007396387953777
ucb,4.3174,0,0,7,0.28428760417736726,0.14428760417736725,0.03922453291714192,0.14428760417736725,0.06634232491254806,0.12724369399249555,3706.329912109375,9.87300090789795,1.906550755770101
eid,1.4088,0,1,8,0.28495911563058746,0.12495911563058745,0.035711292773485184,0.12495911563058745,0.05882533568888903,0.14901899471879004,3110.8178125,11.260601119995117,2.2268697805702686
eid,0.4597,0,1,8,0.2850494688318249,0.12504946883182488,0.035276444032788276,0.12504946883182488,0.05716371949762106,0.1574712011218071,3151.4594921875,11.260613784790038,2.2719471705021954
ucb,4.3174,0,1,7,0.2853998832720245,0.14539988327202447,0.03963313587009907,0.14539988327202447,0.0708978597447276,0.12139885045588017,3670.90240234375,9.871099243164062,2.012138536126198
ucb,1.4088,0,1,7,0.28542308872724453,0.14542308872724452,0.040324872508645054,0.14542308872724452,0.07863243587315083,0.12885152406990527,3628.0976171875,9.869744606018067,1.984728456065835
