shape,pin_fehler_frei,pin_fehler_constr,E_erg_frei,E_erg_constr,coverage_frei,coverage_constr,laenge_frei,laenge_constr
A,0.4947395324707031,9.064022492566437e-07,1.7781344652175903,2.637072801589966,0.03515952080488205,0.033996548503637314,4.49434757232666,4.921624183654785
greek_upper_0,0.4947395324707031,9.064022492566437e-07,1.7781344652175903,2.637072801589966,0.03515952080488205,0.033996548503637314,4.49434757232666,4.921624183654785
korean_5,0.5466240048408508,9.253129178432573e-07,4.548631191253662,5.823144912719727,0.04358763247728348,0.04322223365306854,6.051522731781006,6.634384632110596
digit_5,0.20474399626255035,1.1087105349361082e-06,4.378968715667725,5.249264717102051,0.03747034817934036,0.0367678664624691,4.9241228103637695,4.678884029388428
a_lc,0.4462841749191284,9.019819344757707e-07,3.0569911003112793,3.9481563568115234,0.030457841232419014,0.03009338676929474,3.8267643451690674,4.233309268951416
rand_gmm_10,0.6547020077705383,9.62942522164667e-07,3.9329817295074463,3.2936742305755615,0.053513865917921066,0.05462128669023514,10.527044296264648,10.464986801147461
rand_gmm_20,0.4963169991970062,9.522763093627873e-07,2.337354898452759,2.3317368030548096,0.056243713945150375,0.05111748352646828,9.813211441040039,10.58782958984375
rand_ana_poly_10,0.47111204266548157,8.678567269271298e-07,2.0186522006988525,2.2788026332855225,0.02995975688099861,0.02925960347056389,3.597459077835083,4.308380603790283
rand_ana_poly_20,0.48376837372779846,9.253129178432573e-07,1.2675954103469849,1.7091139554977417,0.03122500330209732,0.03111453726887703,3.4822335243225098,4.519113540649414
rand_ana_poly_30,0.4488259255886078,9.019819344757707e-07,4.534753799438477,5.471690654754639,0.036582477390766144,0.03986760228872299,4.61954402923584,5.110541343688965
rand_gmm_complex_0,0.4891672134399414,9.424321660844726e-07,1.8467382192611694,1.585338830947876,0.06248219311237335,0.0598975345492363,10.522509574890137,11.080881118774414
rand_gmm_complex_10,0.5190234184265137,9.064022492566437e-07,2.034879446029663,2.8718440532684326,0.05254992097616196,0.05166255682706833,10.02839469909668,10.457033157348633
rand_gmm_complex_20,0.6832112073898315,9.117757144849747e-07,3.8114492893218994,4.195852756500244,0.05652495473623276,0.05683348327875137,9.376543045043945,9.734323501586914
rand_gmm_complex_30,0.6189665794372559,8.534086646250216e-07,1.6305100917816162,1.5184348821640015,0.051098570227622986,0.04914392530918121,9.565381050109863,10.192892074584961
rand_ana_poly_complex_0,0.45596843957901,9.078709126697504e-07,1.202082872390747,1.697224736213684,0.034214477986097336,0.036400649696588516,4.594614028930664,5.087815284729004
rand_ana_poly_complex_10,0.564665675163269,9.253129178432573e-07,1.1939423084259033,2.205350637435913,0.04214731976389885,0.04447343200445175,5.919709205627441,6.344536304473877
rand_ana_poly_complex_20,0.49488550424575806,8.429369700024836e-07,1.3162312507629395,1.2152926921844482,0.029768915846943855,0.030425826087594032,4.014719009399414,4.49375581741333
rand_ana_poly_complex_30,0.4070899188518524,9.253129178432573e-07,3.2298314571380615,3.827199697494507,0.031792815774679184,0.03114653006196022,5.19134521484375,5.861863136291504
organic_0,0.9427943825721741,9.117757144849747e-07,1.339992880821228,1.3529975414276123,0.04237578064203262,0.04247957468032837,6.7664361000061035,7.653385162353516
organic_10,0.4862366318702698,8.860867524163041e-07,4.153406620025635,5.57191276550293,0.042235467582941055,0.04146800935268402,5.851215362548828,6.121304512023926
organic_20,0.4084204435348511,9.253129178432573e-07,1.5809216499328613,2.2498042583465576,0.035858239978551865,0.03391120955348015,4.697603225708008,5.299674034118652
organic_30,0.3018537163734436,1.0582972436168347e-06,1.1446253061294556,1.3841575384140015,0.02583206072449684,0.02594590000808239,3.355243682861328,3.1410932540893555
cjk_0,0.6119610071182251,9.334361266155611e-07,4.9770612716674805,5.679906368255615,0.04989158362150192,0.050244420766830444,6.901492118835449,7.500683784484863
cjk_10,0.5519583821296692,9.019819344757707e-07,3.272678852081299,2.143244504928589,0.03759004920721054,0.03602486848831177,6.401712894439697,6.984363555908203
cjk_20,0.6506109237670898,8.678567269271298e-07,1.1706960201263428,2.2264599800109863,0.042721718549728394,0.04179694876074791,6.71861457824707,7.79019021987915
