shape,n_prior,modell,treffer,korr,sigma_anteil,traeger
digit_5,12,ei,0.3018326163291931,0.21915678679943085,0.991568922996521,0.26806640625
digit_5,12,eid,0.3203389048576355,0.05665513500571251,0.991568922996521,0.26806640625
digit_5,12,lse,0.2900964617729187,0.2857699692249298,0.991568922996521,0.26806640625
digit_5,12,mass,0.46902862191200256,0.26246151328086853,0.991568922996521,0.26806640625
digit_5,12,mi,0.2921016812324524,0.1857874095439911,0.991568922996521,0.26806640625
digit_5,12,stretch,0.28345802426338196,0.15380755066871643,0.991568922996521,0.26806640625
digit_5,12,ucb,0.28214573860168457,0.15380758047103882,0.991568922996521,0.26806640625
digit_5,30,ei,0.31894049048423767,0.19736354053020477,0.9702649116516113,0.26806640625
digit_5,30,eid,0.3908470571041107,0.27865397930145264,0.9702649116516113,0.26806640625
digit_5,30,lse,0.3391745388507843,0.49675559997558594,0.9702649116516113,0.26806640625
digit_5,30,mass,0.48674970865249634,0.5614110231399536,0.9702649116516113,0.26806640625
digit_5,30,mi,0.3027650713920593,0.1683322936296463,0.9702649116516113,0.26806640625
digit_5,30,stretch,0.28176456689834595,0.08955751359462738,0.9702649116516113,0.26806640625
digit_5,30,ucb,0.2809528708457947,0.08955751359462738,0.9702649116516113,0.26806640625
digit_5,60,ei,0.33689936995506287,0.16825130581855774,0.9332975745201111,0.26806640625
digit_5,60,eid,0.4031245708465576,0.423978716135025,0.9332975745201111,0.26806640625
digit_5,60,lse,0.40958765149116516,0.6320326328277588,0.9332975745201111,0.26806640625
digit_5,60,mass,0.47774720191955566,0.6948263645172119,0.9332975745201111,0.26806640625
digit_5,60,mi,0.3264665901660919,0.21161887049674988,0.9332975745201111,0.26806640625
digit_5,60,stretch,0.27955693006515503,0.06270281225442886,0.9332975745201111,0.26806640625
digit_5,60,ucb,0.2788862884044647,0.06270281225442886,0.9332975745201111,0.26806640625
a_lc,12,ei,0.271668404340744,0.14897754788398743,0.9814033508300781,0.250732421875
a_lc,12,eid,0.4525664746761322,0.2996251583099365,0.9814033508300781,0.250732421875
a_lc,12,lse,0.2864615321159363,0.4320182800292969,0.9814033508300781,0.250732421875
a_lc,12,mass,0.47981101274490356,0.5336707830429077,0.9814033508300781,0.250732421875
a_lc,12,mi,0.2574250400066376,0.0593244805932045,0.9814033508300781,0.250732421875
a_lc,12,stretch,0.24901600182056427,-0.01727159321308136,0.9814033508300781,0.250732421875
a_lc,12,ucb,0.2491677850484848,-0.01727159507572651,0.9814033508300781,0.250732421875
a_lc,30,ei,0.33624351024627686,0.3221195638179779,0.9728311896324158,0.250732421875
a_lc,30,eid,0.3561379611492157,0.23967541754245758,0.9728311896324158,0.250732421875
a_lc,30,lse,0.31191498041152954,0.4574483633041382,0.9728311896324158,0.250732421875
a_lc,30,mass,0.46592193841934204,0.5655720829963684,0.9728311896324158,0.250732421875
a_lc,30,mi,0.3072564899921417,0.2715151906013489,0.9728311896324158,0.250732421875
a_lc,30,stretch,0.2821785509586334,0.2029484212398529,0.9728311896324158,0.250732421875
a_lc,30,ucb,0.2801609933376312,0.2029484212398529,0.9728311896324158,0.250732421875
a_lc,60,ei,0.473071426153183,0.3795464038848877,0.9384130835533142,0.250732421875
a_lc,60,eid,0.4142218828201294,0.4503766894340515,0.9384130835533142,0.250732421875
a_lc,60,lse,0.3801088333129883,0.5686126947402954,0.9384130835533142,0.250732421875
a_lc,60,mass,0.4793044328689575,0.591509997844696,0.9384130835533142,0.250732421875
a_lc,60,mi,0.3704395592212677,0.42457395792007446,0.9384130835533142,0.250732421875
a_lc,60,stretch,0.30894118547439575,0.2879551947116852,0.9384130835533142,0.250732421875
a_lc,60,ucb,0.30474406480789185,0.2879551947116852,0.9384130835533142,0.250732421875
rand_gmm_10,12,ei,0.6396580934524536,0.16536541283130646,0.9694526791572571,0.630126953125
rand_gmm_10,12,eid,0.7903924584388733,0.21164721250534058,0.9694526791572571,0.630126953125
rand_gmm_10,12,lse,0.6593223810195923,0.4190588593482971,0.9694526791572571,0.630126953125
rand_gmm_10,12,mass,0.7521393895149231,0.48433807492256165,0.9694526791572571,0.630126953125
rand_gmm_10,12,mi,0.6285392045974731,0.04956987500190735,0.9694526791572571,0.630126953125
rand_gmm_10,12,stretch,0.6236695051193237,-0.006323503330349922,0.9694526791572571,0.630126953125
rand_gmm_10,12,ucb,0.624279797077179,-0.006323532667011023,0.9694526791572571,0.630126953125
rand_gmm_10,30,ei,0.6710334420204163,0.2936230003833771,0.9296242594718933,0.630126953125
rand_gmm_10,30,eid,0.7259067893028259,0.28631049394607544,0.9296242594718933,0.630126953125
rand_gmm_10,30,lse,0.6990873217582703,0.6712589263916016,0.9296242594718933,0.630126953125
