shape,surface,erg,coverage,standoff,standoff_sd,pointing_deg,path_len,hit_frac
A,ebene_flach,0.002562217275464209,0.03768691048026085,0.024533219635486603,0.010128393769264221,51.96483612060547,2.466775417327881,0.4438
A,ebene_gekippt,0.002089688927184785,0.03419775888323784,0.02401549741625786,0.008553181774914265,39.85038757324219,2.4011034965515137,0.4438
A,ebene_diagonal,0.002211824500348064,0.03298463299870491,0.022270310670137405,0.0063318172469735146,37.12306213378906,1.9997361898422241,0.4438
A,kugel,0.002414904011530164,0.04921574890613556,0.022319136187434196,0.015394201502203941,65.7263412475586,2.2023892402648926,0.19875
A,wuerfel,0.004191455824354287,0.06237801909446716,0.03213976323604584,0.013939802534878254,60.52838134765625,4.119730472564697,0.28295
A,ei,0.003124938412471626,0.040781281888484955,0.022145047783851624,0.012479979544878006,77.33493041992188,1.976607322692871,0.23315
A,bunny,0.005690995225030455,0.04859897866845131,0.034015148878097534,0.015373866073787212,47.32573699951172,1.920491099357605,0.2142
A,prisma,0.003245606374777981,0.048858270049095154,0.03255695104598999,0.0230886097997427,73.91090393066406,3.570913314819336,0.3162
A,kegel,0.0010252941320560256,0.04081733524799347,0.021143242716789246,0.010361503809690475,84.34883117675781,3.0326757431030273,0.3722
A,torus,0.0015349180294372123,0.03794706240296364,0.03106505051255226,0.02825426124036312,86.569580078125,2.460824966430664,0.22385
greek_upper_0,ebene_flach,0.002106436448669151,0.035115744918584824,0.018337219953536987,0.008425027132034302,55.361915588378906,1.8270875215530396,0.4392
greek_upper_0,ebene_gekippt,0.0018134382953840682,0.03309633955359459,0.02239828184247017,0.009001635015010834,48.66722869873047,2.339507579803467,0.4392
greek_upper_0,ebene_diagonal,0.002097159318192651,0.031245766207575798,0.024034326896071434,0.01015416719019413,41.70899963378906,2.273716926574707,0.4392
greek_upper_0,kugel,0.00499095603609731,0.03932330757379532,0.022183582186698914,0.012953488156199455,84.65608215332031,2.3185300827026367,0.19825
greek_upper_0,wuerfel,0.007981647885391196,0.07338272035121918,0.04033046215772629,0.029808657243847847,68.59574890136719,3.943946361541748,0.28375
greek_upper_0,ei,0.004162543753233806,0.04666822403669357,0.020276391878724098,0.008330470882356167,72.33841705322266,1.982462763786316,0.2376
greek_upper_0,bunny,0.00377755555763496,0.04609382152557373,0.03526676446199417,0.016673095524311066,57.405555725097656,2.274271011352539,0.20195
greek_upper_0,prisma,0.009360774867450725,0.06586894392967224,0.03959182649850845,0.024942051619291306,74.02392578125,3.927989959716797,0.32525
greek_upper_0,kegel,0.0011037980615499522,0.045941323041915894,0.029911663383245468,0.02074218913912773,86.09626007080078,3.1455860137939453,0.37465
greek_upper_0,torus,0.0023362608731789733,0.03706058859825134,0.02626403234899044,0.023210925981402397,80.49203491210938,2.5426712036132812,0.22465
korean_5,ebene_flach,0.0017326272286010546,0.040667563676834106,0.031501345336437225,0.015268651768565178,61.21550369262695,2.8215417861938477,0.6004
korean_5,ebene_gekippt,0.002025162417645252,0.04421192407608032,0.03263237327337265,0.015481626614928246,51.747501373291016,2.4545822143554688,0.6004
korean_5,ebene_diagonal,0.0044092790495562605,0.04461158439517021,0.03450971096754074,0.013766785152256489,51.39199447631836,2.1510138511657715,0.6004
korean_5,kugel,0.00514717993386891,0.05773383378982544,0.03936099261045456,0.02373148314654827,98.43977355957031,2.5510473251342773,0.2848
korean_5,wuerfel,0.005886486750303316,0.07172774523496628,0.03718404471874237,0.019461777061223984,77.220947265625,4.141678333282471,0.34355
korean_5,ei,0.004904499647236675,0.056860800832509995,0.02725108340382576,0.016479212790727615,101.23462677001953,2.188589096069336,0.334
korean_5,bunny,0.004525186611222312,0.061696697026491165,0.045993875712156296,0.01734362542629242,58.01500701904297,2.267486095428467,0.2506
