variant,shape,path_len,coverage,info_gain,belief_rmse
A,A,0.37654557824134827,0.3177037537097931,52.785125732421875,0.21889859437942505
A,A,0.7710238099098206,0.25060537457466125,105.46957397460938,0.2881125807762146
A,A,1.1904786825180054,0.1292109489440918,136.16220092773438,0.27794215083122253
A,A,1.5753614902496338,0.11815447360277176,144.063232421875,0.2636812925338745
A,A,1.9899522066116333,0.09925639629364014,143.60366821289062,0.30456918478012085
A,A,2.390679121017456,0.08258023113012314,152.10861206054688,0.26133111119270325
A,A,2.789104700088501,0.07655511796474457,170.531982421875,0.2693423628807068
A,A,3.174936532974243,0.07233183085918427,175.20074462890625,0.3029797077178955
A,A,3.5882062911987305,0.07111131399869919,175.31875610351562,0.36784276366233826
A,A,3.8235206604003906,0.07042238116264343,181.45077514648438,0.24690380692481995
A,greek_upper_0,0.3704168200492859,0.5259140133857727,42.457977294921875,0.1931452453136444
A,greek_upper_0,0.7913615703582764,0.2394135296344757,82.706298828125,0.27433905005455017
A,greek_upper_0,1.1881040334701538,0.1977568119764328,104.76922607421875,0.21894972026348114
A,greek_upper_0,1.5850012302398682,0.13015198707580566,115.30715942382812,0.35257911682128906
A,greek_upper_0,1.963768720626831,0.11831691116094589,121.4686279296875,0.2657923698425293
A,greek_upper_0,2.3867223262786865,0.11478441953659058,126.99179077148438,0.28822365403175354
A,greek_upper_0,2.7735202312469482,0.10179894417524338,163.66806030273438,0.34449639916419983
A,greek_upper_0,3.183037281036377,0.08683034777641296,191.1805419921875,0.2607056498527527
A,greek_upper_0,3.5478315353393555,0.08023815602064133,194.06625366210938,0.22181615233421326
A,greek_upper_0,3.849900722503662,0.07910129427909851,196.7568359375,0.2547156810760498
A,korean_5,0.35114800930023193,0.3880115747451782,52.53228759765625,0.3448013961315155
A,korean_5,0.7867714762687683,0.2599039673805237,89.71664428710938,0.3826785683631897
A,korean_5,1.1803640127182007,0.2595100402832031,97.18084716796875,0.4563359022140503
A,korean_5,1.5687329769134521,0.19118545949459076,105.35516357421875,0.42409953474998474
A,korean_5,1.978311538696289,0.13712432980537415,133.3939208984375,0.34322503209114075
A,korean_5,2.3715691566467285,0.11164386570453644,158.8385009765625,0.31508171558380127
A,korean_5,2.7719404697418213,0.08149710297584534,191.64886474609375,0.2988162636756897
A,korean_5,3.1904072761535645,0.07405482232570648,209.2718505859375,0.3514835238456726
A,korean_5,3.530635356903076,0.07364580035209656,205.30224609375,0.33247387409210205
A,korean_5,3.7744569778442383,0.07210277020931244,208.76260375976562,0.2947291433811188
A,digit_5,0.381570965051651,0.2858216464519501,47.263702392578125,0.20752839744091034
A,digit_5,0.7932539582252502,0.23093865811824799,100.56509399414062,0.3454754948616028
A,digit_5,1.1917552947998047,0.2100442349910736,105.311279296875,0.42195621132850647
A,digit_5,1.5654067993164062,0.19997967779636383,112.6888427734375,0.5295527577400208
A,digit_5,1.9839656352996826,0.18840691447257996,118.92926025390625,0.27595728635787964
A,digit_5,2.365780830383301,0.18352718651294708,140.21710205078125,0.3565864861011505
A,digit_5,2.7673234939575195,0.18059346079826355,161.3944091796875,0.42958006262779236
A,digit_5,3.1830382347106934,0.10503848642110825,184.05343627929688,0.3085331618785858
A,digit_5,3.545297384262085,0.07106944173574448,199.25485229492188,0.3230602741241455
A,digit_5,3.718733072280884,0.06980463117361069,203.6856689453125,0.32028642296791077
A,a_lc,0.3830729126930237,0.2995457351207733,66.41494750976562,0.2979576587677002
A,a_lc,0.7877660393714905,0.21136043965816498,107.15335083007812,0.39002570509910583
A,a_lc,1.1871416568756104,0.1730634719133377,136.03866577148438,0.3120597004890442
A,a_lc,1.5705366134643555,0.14422588050365448,165.78005981445312,0.22157104313373566
A,a_lc,1.9922465085983276,0.09984905272722244,197.76950073242188,0.306138277053833
A,a_lc,2.3806450366973877,0.09257971495389938,182.96279907226562,0.4397664964199066
A,a_lc,2.7893924713134766,0.08347993344068527,215.65206909179688,0.24920371174812317
A,a_lc,3.182007074356079,0.0807766243815422,216.10321044921875,0.3927852511405945
A,a_lc,3.574157238006592,0.05954361334443092,217.4481201171875,0.2991254925727844
A,a_lc,3.8549585342407227,0.057932209223508835,226.88296508789062,0.4607820212841034
B,A,0.45551517605781555,0.3519841730594635,64.80386352539062,0.25610673427581787
