model,shape,E_ergodic,E_smooth,E_boundary,E_total,coverage,path_len
MitLoss,A,98.75018310546875,0.08348990976810455,0.0,98.83366394042969,0.2341563105583191,0.8053466081619263
MitLoss,greek_upper_0,91.36677551269531,0.10029975324869156,0.0,91.46707153320312,0.22861474752426147,0.8439058661460876
MitLoss,korean_5,103.40646362304688,0.08669392764568329,0.0,103.49315643310547,0.2583853602409363,0.8522018194198608
MitLoss,digit_5,100.35054016113281,0.092940554022789,0.0,100.4434814453125,0.25143659114837646,0.903373658657074
MitLoss,a_lc,89.39863586425781,0.11415869742631912,0.0,89.5127944946289,0.20273041725158691,0.9256225824356079
MitLoss,rand_gmm_10,99.47933959960938,0.12175948172807693,0.0,99.60110473632812,0.29939642548561096,0.933113694190979
MitLoss,rand_gmm_20,135.54754638671875,0.12079386413097382,0.0,135.6683349609375,0.30111515522003174,0.9709223508834839
MitLoss,rand_ana_poly_10,121.5881118774414,0.1408386379480362,0.001501426799222827,121.73045349121094,0.21744315326213837,1.0223697423934937
MitLoss,rand_ana_poly_20,74.42842102050781,0.1414313018321991,0.0,74.56985473632812,0.18789514899253845,1.0431883335113525
MitLoss,rand_ana_poly_30,110.01467895507812,0.08933135867118835,0.0,110.10401153564453,0.24789121747016907,0.9645488262176514
MitLoss,rand_gmm_complex_0,126.10274505615234,0.10640516877174377,0.0,126.20915222167969,0.29603588581085205,0.9265145063400269
MitLoss,rand_gmm_complex_10,140.90472412109375,0.09762047231197357,0.0,141.00234985351562,0.3126257658004761,0.9367678165435791
MitLoss,rand_gmm_complex_20,103.25252532958984,0.12896588444709778,0.0,103.3814926147461,0.31911608576774597,0.9240577816963196
MitLoss,rand_gmm_complex_30,115.26327514648438,0.10878024995326996,0.0,115.37205505371094,0.3081320822238922,0.9414067268371582
MitLoss,rand_ana_poly_complex_0,89.0654067993164,0.13070037961006165,0.0,89.19610595703125,0.20746570825576782,0.9526799321174622
MitLoss,rand_ana_poly_complex_10,95.30377197265625,0.11377015709877014,0.0,95.41754150390625,0.2585792541503906,0.8806785345077515
MitLoss,rand_ana_poly_complex_20,91.41349029541016,0.0960879996418953,0.0,91.50958251953125,0.21527522802352905,0.8885670900344849
MitLoss,rand_ana_poly_complex_30,99.00180053710938,0.12984240055084229,0.0,99.13164520263672,0.22598756849765778,0.9323945641517639
MitLoss,organic_0,92.60787963867188,0.10751108825206757,0.0,92.71538543701172,0.28534823656082153,0.9358019828796387
MitLoss,organic_10,114.03793334960938,0.1166185811161995,0.0,114.15455627441406,0.27448540925979614,0.9171733260154724
MitLoss,organic_20,84.17410278320312,0.1380898654460907,0.0,84.31219482421875,0.2214704155921936,1.0058999061584473
MitLoss,organic_30,83.50269317626953,0.08528268337249756,0.0,83.58797454833984,0.1639525443315506,0.8256539702415466
MitLoss,cjk_0,109.91462707519531,0.10194621235132217,0.0,110.01657104492188,0.28043293952941895,0.8947421312332153
MitLoss,cjk_10,90.09304809570312,0.09526298195123672,0.0,90.18831634521484,0.2672778367996216,0.8212419152259827
MitLoss,cjk_20,94.83761596679688,0.11646272242069244,0.0,94.95408630371094,0.26155462861061096,0.9054216742515564
SVGD solver (Referenz),A,0.8694829940795898,0.9591067433357239,0.0,1.828589677810669,0.028829120099544525,4.296726226806641
SVGD solver (Referenz),greek_upper_0,0.8745958805084229,0.8718011379241943,0.0,1.7463970184326172,0.02866153046488762,4.288121700286865
SVGD solver (Referenz),korean_5,0.3248695433139801,0.9060264229774475,0.0,1.23089599609375,0.033834733068943024,3.917619228363037
SVGD solver (Referenz),digit_5,0.3043818771839142,0.6653872132301331,0.0,0.9697691202163696,0.025460559874773026,3.8679986000061035
SVGD solver (Referenz),a_lc,0.6382088661193848,0.619936466217041,0.0,1.2581453323364258,0.026712484657764435,3.1881284713745117
SVGD solver (Referenz),rand_gmm_10,1.0251716375350952,1.9763412475585938,0.0,3.0015130043029785,0.048977479338645935,4.804698944091797
SVGD solver (Referenz),rand_gmm_20,1.1665937900543213,1.0099440813064575,0.0,2.1765379905700684,0.0510164275765419,4.176462173461914
SVGD solver (Referenz),rand_ana_poly_10,0.6417074203491211,1.1813008785247803,0.0,1.8230082988739014,0.020946811884641647,3.201753616333008
SVGD solver (Referenz),rand_ana_poly_20,0.24520011246204376,0.721502959728241,0.0,0.9667030572891235,0.021085355430841446,3.486877679824829
SVGD solver (Referenz),rand_ana_poly_30,1.078553557395935,0.2026204764842987,0.0,1.2811740636825562,0.02259603887796402,2.720508098602295
SVGD solver (Referenz),rand_gmm_complex_0,1.6524014472961426,0.9445251226425171,0.005632065236568451,2.6025588512420654,0.052527252584695816,4.742816925048828
SVGD solver (Referenz),rand_gmm_complex_10,1.7131510972976685,1.1726845502853394,0.008794956840574741,2.8946306705474854,0.05540367215871811,4.948203086853027
SVGD solver (Referenz),rand_gmm_complex_20,2.289898157119751,1.4548909664154053,0.00440312922000885,3.749192237854004,0.05389292538166046,4.840909481048584
SVGD solver (Referenz),rand_gmm_complex_30,1.4129751920700073,2.067741632461548,0.0,3.4807167053222656,0.05373186990618706,4.578649520874023
SVGD solver (Referenz),rand_ana_poly_complex_0,2.2447052001953125,2.3381123542785645,0.0,4.582817554473877,0.033723946660757065,3.995406150817871
SVGD solver (Referenz),rand_ana_poly_complex_10,0.40073296427726746,1.9211536645889282,0.0,2.3218865394592285,0.03337973728775978,3.8344943523406982
SVGD solver (Referenz),rand_ana_poly_complex_20,0.49154749512672424,0.6037179231643677,0.0,1.0952653884887695,0.020489253103733063,3.4993178844451904
SVGD solver (Referenz),rand_ana_poly_complex_30,0.2080259472131729,0.9881461262702942,0.0,1.1961721181869507,0.020201142877340317,3.9295542240142822
SVGD solver (Referenz),organic_0,1.0381150245666504,0.5133051872253418,0.0,1.5514202117919922,0.030475324019789696,3.937941789627075
SVGD solver (Referenz),organic_10,0.4631701111793518,1.5796300172805786,0.0,2.042800188064575,0.02216377854347229,3.431122303009033
SVGD solver (Referenz),organic_20,0.5548911094665527,0.27571624517440796,0.0,0.8306073546409607,0.03114144131541252,2.431368350982666
SVGD solver (Referenz),organic_30,1.3285983800888062,1.4737194776535034,0.0,2.8023178577423096,0.021511968225240707,2.2195398807525635
SVGD solver (Referenz),cjk_0,0.5416771173477173,2.198690414428711,0.0,2.7403674125671387,0.03374028950929642,5.771851539611816
SVGD solver (Referenz),cjk_10,0.9684222340583801,2.261476993560791,0.0,3.2298991680145264,0.030577732250094414,4.0700531005859375
SVGD solver (Referenz),cjk_20,0.6177818775177002,2.6551668643951416,0.031950101256370544,3.304898738861084,0.02967151254415512,4.787809371948242
