shape,austritt_frei,austritt_constr,E_erg_frei,E_erg_constr,coverage_frei,coverage_constr,laenge_frei,laenge_constr
A,0.24255116283893585,0.0,1.7781344652175903,4.636917591094971,0.03515952080488205,0.06298559904098511,4.49434757232666,2.8149585723876953
greek_upper_0,0.24255116283893585,0.0,1.7781344652175903,4.636917591094971,0.03515952080488205,0.06298559904098511,4.49434757232666,2.8149585723876953
korean_5,0.22913336753845215,0.0,4.548631191253662,8.562532424926758,0.04358763247728348,0.07947494089603424,6.051522731781006,4.2812981605529785
digit_5,0.1668182760477066,0.0,4.378968715667725,8.172881126403809,0.03747034817934036,0.06929720938205719,4.9241228103637695,3.57836651802063
a_lc,0.1575794517993927,0.0,3.0569911003112793,6.135918617248535,0.030457841232419014,0.05863054096698761,3.8267643451690674,2.7838048934936523
rand_gmm_10,0.34073105454444885,0.0,3.9329817295074463,4.073263645172119,0.053513865917921066,0.06933930516242981,10.527044296264648,6.916461944580078
rand_gmm_20,0.3271133303642273,0.0,2.337354898452759,3.375236988067627,0.056243713945150375,0.05828988924622536,9.813211441040039,6.887359619140625
rand_ana_poly_10,0.15653929114341736,0.0,2.0186522006988525,2.8081185817718506,0.02995975688099861,0.04853452742099762,3.597459077835083,2.7576537132263184
rand_ana_poly_20,0.14679056406021118,0.0,1.2675954103469849,3.367767095565796,0.03122500330209732,0.050779394805431366,3.4822335243225098,2.7987289428710938
rand_ana_poly_30,0.1816239058971405,0.0,4.534753799438477,4.670210361480713,0.036582477390766144,0.05276269465684891,4.61954402923584,3.4055609703063965
rand_gmm_complex_0,0.3787573575973511,0.0,1.8467382192611694,2.5876030921936035,0.06248219311237335,0.06302626430988312,10.522509574890137,7.693097114562988
rand_gmm_complex_10,0.38051339983940125,0.0,2.034879446029663,8.676634788513184,0.05254992097616196,0.08727207779884338,10.02839469909668,5.925321578979492
rand_gmm_complex_20,0.2894465923309326,0.0,3.8114492893218994,5.113037109375,0.05652495473623276,0.07452118396759033,9.376543045043945,6.247951507568359
rand_gmm_complex_30,0.318632572889328,0.0,1.6305100917816162,5.49109411239624,0.051098570227622986,0.07812459766864777,9.565381050109863,6.444602966308594
rand_ana_poly_complex_0,0.11307238042354584,0.0,1.202082872390747,5.249499797821045,0.034214477986097336,0.061023108661174774,4.594614028930664,3.531395435333252
rand_ana_poly_complex_10,0.12507548928260803,0.0,1.1939423084259033,3.496194839477539,0.04214731976389885,0.06500914692878723,5.919709205627441,4.140932083129883
rand_ana_poly_complex_20,0.1466432809829712,0.0,1.3162312507629395,3.2329659461975098,0.029768915846943855,0.04802310839295387,4.014719009399414,2.518571376800537
rand_ana_poly_complex_30,0.14719632267951965,0.0,3.2298314571380615,3.0427656173706055,0.031792815774679184,0.04518155753612518,5.19134521484375,3.5753445625305176
organic_0,0.29750490188598633,0.0,1.339992880821228,4.968939781188965,0.04237578064203262,0.07884856313467026,6.7664361000061035,4.669872283935547
organic_10,0.14564096927642822,0.0,4.153406620025635,5.198960304260254,0.042235467582941055,0.05944150686264038,5.851215362548828,4.1692047119140625
organic_20,0.1723710298538208,0.0,1.5809216499328613,7.091607570648193,0.035858239978551865,0.0719640851020813,4.697603225708008,3.2126102447509766
organic_30,0.09082227945327759,0.0,1.1446253061294556,4.531902313232422,0.02583206072449684,0.045750752091407776,3.355243682861328,2.0065758228302
cjk_0,0.3008256256580353,0.0,4.9770612716674805,9.001333236694336,0.04989158362150192,0.07519258558750153,6.901492118835449,4.9693498611450195
cjk_10,0.2414558231830597,0.0,3.272678852081299,8.827571868896484,0.03759004920721054,0.07680410146713257,6.401712894439697,4.698646068572998
cjk_20,0.29111531376838684,0.0,1.1706960201263428,3.6392669677734375,0.042721718549728394,0.06338386982679367,6.71861457824707,4.582446098327637
