E_ergodic_exploit,E_ergodic_exploit_per_length,E_ergodic_explore,E_ergodic_explore_per_length,E_ergodic_total,E_ergodic_total_per_length,coverage,coverage_per_length,explore_exploit_ratio,knowledge_condition,method,path_len,shape,subvariant,svgd_iters,variant_id
0.019233644008636475,0.0021856415541078008,16.403488159179688,1.8640329069686288,16.422721803188324,1.8662185485227367,0.03447128087282181,0.003917191347886549,0.001172533781961063,ground_truth,lawnmower,8.799999237060547,A,fixed,-1,lawnmower_fixed
0.019233644008636475,0.0021856415541078008,16.403488159179688,1.8640329069686288,16.422721803188324,1.8662185485227367,0.03447128087282181,0.003917191347886549,0.001172533781961063,none_known,lawnmower,8.799999237060547,A,fixed,-1,lawnmower_fixed
0.019233644008636475,0.0021856415541078008,16.403488159179688,1.8640329069686288,16.422721803188324,1.8662185485227367,0.03447128087282181,0.003917191347886549,0.001172533781961063,half_known,lawnmower,8.799999237060547,A,fixed,-1,lawnmower_fixed
0.019233644008636475,0.0021856415541078008,16.403488159179688,1.8640329069686288,16.422721803188324,1.8662185485227367,0.03447128087282181,0.003917191347886549,0.001172533781961063,ten_samples,lawnmower,8.799999237060547,A,fixed,-1,lawnmower_fixed
0.09379155933856964,0.009622375624430263,38.80457305908203,3.981085084343887,38.8983646184206,3.990707459968317,0.08350741118192673,0.008567292019483565,0.002417023354329063,ground_truth,random_walk,9.747235298156738,A,fixed,-1,random_walk_fixed
0.09379155933856964,0.009622375624430263,38.80457305908203,3.981085084343887,38.8983646184206,3.990707459968317,0.08350741118192673,0.008567292019483565,0.002417023354329063,none_known,random_walk,9.747235298156738,A,fixed,-1,random_walk_fixed
0.09379155933856964,0.009622375624430263,38.80457305908203,3.981085084343887,38.8983646184206,3.990707459968317,0.08350741118192673,0.008567292019483565,0.002417023354329063,half_known,random_walk,9.747235298156738,A,fixed,-1,random_walk_fixed
0.09379155933856964,0.009622375624430263,38.80457305908203,3.981085084343887,38.8983646184206,3.990707459968317,0.08350741118192673,0.008567292019483565,0.002417023354329063,ten_samples,random_walk,9.747235298156738,A,fixed,-1,random_walk_fixed
0.1126299798488617,0.02918751190133872,2.950812578201294,0.7646887388281879,3.0634425580501556,0.7938762507295266,0.03775868937373161,0.009784980845718242,0.03816914048723378,ground_truth,cfm,3.8588414192199707,A,no_replan,0,cfm_no_replan_svgd0
0.1233954206109047,0.0332312070940015,0.32136356830596924,0.08654534534565385,0.44475898891687393,0.11977655243965535,0.03238026797771454,0.008720221427987139,0.3839745160329447,ground_truth,cfm,3.7132391929626465,A,no_replan,25,cfm_no_replan_svgd25
0.11219967901706696,0.024728002881398273,4.571502685546875,1.007526336713741,4.683702364563942,1.0322543395951393,0.03026222437620163,0.006669576759291847,0.024543281877924754,ground_truth,cfm,4.537353038787842,A,one_replan,0,cfm_one_replan_svgd0
0.0609564483165741,0.01327329974798006,2.173790693283081,0.4733441048183654,2.234747141599655,0.48661740456634545,0.02810901775956154,0.006120753893112064,0.02804154443430404,ground_truth,cfm,4.592411041259766,A,one_replan,25,cfm_one_replan_svgd25
0.08082142472267151,0.009619487538608243,4.838366985321045,0.5758697162567278,4.919188410043716,0.585489203795336,0.024666933342814445,0.002935895509403493,0.01670427749029225,ground_truth,cfm,8.401843070983887,A,replan_1_6,0,cfm_replan_1_6_svgd0
0.06233927235007286,0.007391772802190999,1.7219810485839844,0.2041809633152793,1.7843203209340572,0.2115727361174703,0.021552152931690216,0.0025555097431120806,0.03620206645208758,ground_truth,cfm,8.433602333068848,A,replan_1_6,25,cfm_replan_1_6_svgd25
0.2983040511608124,0.2292747920350889,28.910381317138672,22.22035415995333,29.208685368299484,22.44962895198842,0.15677417814731598,0.12049573899960428,0.010318233021159482,ground_truth,linear,1.3010765314102173,A,diagonal,0,linear_diagonal_svgd0
0.3464263677597046,0.27856300413449236,16.904949188232422,13.593345856056171,17.251375555992126,13.871908860190663,0.14323699474334717,0.1151775132387726,0.02049260035640053,ground_truth,linear,1.243619441986084,A,diagonal,25,linear_diagonal_svgd25
0.3318067193031311,0.36065947096084433,136.50390625,148.37380844972273,136.83571296930313,148.73446792068358,0.3771215081214905,0.4099146753046753,0.0024307488951667354,ground_truth,linear,0.9200000166893005,A,straight_top,0,linear_straight_top_svgd0
